sequence,visible_label,arc_id,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
1,1화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,9,6,8,0.20,0.25,0.20,0.20,0.15,고시원 죽음·17세 회귀·시계 폭로·김태중의 100만 달러가 연달아 벌어져 행동과 상실·회복 감정에 오래 머문다.,L1~L255
2,2화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,6,6,8,0.30,0.18,0.24,0.10,0.18,한정훈과 A급 인재 세 명의 능력표를 하나씩 읽은 뒤 220억 원짜리 초기 팀을 세운다. 사람을 고르는 느린 검토가 실제 고용으로 넘어가며 김민재의 첫 조직이 형태를 얻는다.,L256~L497
3,3화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,8,5,6,0.27,0.29,0.17,0.09,0.18,"220억 원 홍콩법인 계약과 닛케이 보험·공매도 3안 선택이 앞쪽의 금융 긴장을 끌고, 뒤쪽에서는 김태중 앞에서 세 외국어 신문을 읽어 검정고시와 해외대학 허락을 받아낸다. SAT 교재를 꺼내는 마지막 동작은 지급된 허락을 외환위기 전 입사 계획으로 곧장 잇는다.",L498~L722
4,4화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,8,7,7,0.22,0.26,0.12,0.10,0.30,"닛케이 폭락으로 1,210억 원을 실현하고 곧바로 걸프전 12배 베팅으로 넘어가 현금 보상과 재투자가 솟는다.",L723~L929
5,5화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,8,7,9,0.18,0.31,0.28,0.11,0.12,왕실 보석 절도를 막아 살만의 약속을 얻고 2억 달러 원유 포지션을 잡아 행동과 왕실 관계가 앞선다.,L930~L1168
6,6화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,9,9,6,0.13,0.27,0.19,0.12,0.29,이라크 침공 뒤 20억 달러가 확정되고 네 직원이 SAVE로 이동해 자산과 조직 지위가 큰 봉우리를 만든다.,L1169~L1387
7,7화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,7,6,9,0.22,0.26,0.25,0.08,0.19,35억 원 보너스와 월가 21명 채용 뒤 유가 공매도를 집행해 인재 조직과 다음 포지션에 체류한다.,L1388~L1608
8,8화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,7,9,7,0.17,0.26,0.24,0.08,0.25,유가 청산 100억 달러와 D.E 인재 13명 이탈이 겹쳐 현금 보상·영입 행동·제프리 대면이 균형을 이룬다.,L1609~L1815
9,9화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,6,6,9,0.24,0.15,0.32,0.17,0.12,제프리는 냅킨에 그린 재투자 선순환을 보고 합류하지만 혹독한 운영 방식과 성과보수 조건에서 곧바로 한정훈과 부딪힌다. 첫 설득의 들뜸이 새 조직 내부의 갈등으로 식어 인재 영입의 비용을 남긴다.,L1816~L2017
10,10화,DCA-N01,N01·걸프전 100억 달러와 SAVE 월가 자립,7,7,6,0.27,0.22,0.30,0.08,0.13,"리라화 다음 표적을 맞힌 김민재가 조지에게 모든 통화전쟁 동맹과 파운드 공격 60억 달러 공동투자를 받아 내고, 남은 40억 달러를 독자 운용할 자율성을 얻는다. 조지·짐의 대학 추천서는 써 주겠다는 약속일 뿐 원본 수령 전이므로 관계 보상과 문서 지급을 분리한다.",L2018~L2167
11,11화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,7,7,6,0.21,0.20,0.31,0.20,0.08,하버드 합격으로 김태중을 기쁘게 한 뒤 대선 출마를 막고 재단 허락을 받아 조손 관계와 감정이 길다.,L2168~L2352
12,12화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,5,6,7,0.34,0.18,0.23,0.07,0.18,성적 상위 5퍼센트 빈곤 학생 자료와 200억 원 장학재단의 선발 체계를 직접 점검하고 청년창업 지원까지 넓힌다. 후반에는 라인 없는 검찰·경찰·공무원 명단과 펀드 모집 보상을 설계하지만 실제 가입 인원은 아직 없다.,L2353~L2512
13,13화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,7,7,6,0.23,0.29,0.26,0.12,0.10,퀀텀 100억 원 기부를 미끼로 김택훈을 움직이고 김태중에게 월가 가치를 입증해 행동·가족 권력관계가 앞선다.,L2513~L2676
14,14화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,8,8,9,0.29,0.25,0.23,0.08,0.15,클린턴·푸틴 지원과 30억 달러 지급 뒤 조지의 프랑화 배신 계획을 읽어 정보와 다음 대응 훅이 강하다.,L2677~L2851
15,15화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,6,8,8,0.20,0.18,0.28,0.17,0.17,퀀텀 역이용과 푸틴 감사 뒤 3년을 건너 하버드 졸업·창원 입사를 택해 관계 보상과 새 장소 기대가 높다.,L2852~L3024
16,16화,DCA-N02,N02·창원 장부와 명동 4천억 절단,6,4,8,0.29,0.27,0.20,0.14,0.10,차장 신분으로 고철·총무팀 횡령을 지켜보다 밤샘 회식이 끝난 순간 조사팀을 들이민다. 오래 참은 잠입이 급습으로 바뀌어 증거가 조직 안에서 실제 힘을 얻는다.,L3025~L3210
17,17화,DCA-N02,N02·창원 장부와 명동 4천억 절단,7,5,7,0.32,0.27,0.23,0.10,0.08,팔레트 독점과 공장장·두 경리의 불륜을 연쇄 확인해 비리 정보와 강인식 팀의 추적 행동에 머문다.,L3211~L3402
18,18화,DCA-N02,N02·창원 장부와 명동 4천억 절단,6,6,7,0.30,0.23,0.16,0.08,0.23,조사비를 지급하면서 일본 파생 100억 달러를 늘리고 청년경제포럼의 재벌 2·3세들을 다음 승계 표적으로 바라본다. 구체 가문과 계열사는 아직 고르지 않아 전략 정보와 자금 규모만 앞선다.,L3403~L3587
19,19화,DCA-N02,N02·창원 장부와 명동 4천억 절단,7,6,8,0.21,0.31,0.28,0.13,0.07,후계 분쟁 씨앗과 불륜 이간질을 실행해 한지혜·주영미에게 장부를 받아 행동과 관계 조작이 두드러진다.,L3588~L3812
20,20화,DCA-N02,N02·창원 장부와 명동 4천억 절단,8,7,8,0.18,0.39,0.18,0.15,0.10,술집 난동 연기·압수수색·기자회견으로 서우태를 공개 고발하는 연속 행동이 회차 대부분을 차지한다.,L3813~L4009
21,21화,DCA-N02,N02·창원 장부와 명동 4천억 절단,9,7,10,0.16,0.28,0.27,0.20,0.09,태우를 버릴 수 있다는 배수진으로 김태중과 충돌해 감사본부장 자리를 얻고 고베 지진 훅으로 급전한다.,L4010~L4174
22,22화,DCA-N02,N02·창원 장부와 명동 4천억 절단,7,7,8,0.31,0.21,0.25,0.08,0.15,고베 수익 조건과 이준수·명동 연결을 읽고 조지에게 75억 달러 파생상품과 돈으로 사기 힘든 기업지분의 교환을 제시한다. 감사팀의 다른 인물과 실제 지분 대상은 아직 이름을 주지 않아 정보 협상이 길다.,L4175~L4371
23,23화,DCA-N02,N02·창원 장부와 명동 4천억 절단,6,8,7,0.22,0.17,0.24,0.07,0.30,애플·포드 지분 각 20퍼센트를 받은 직후 정수철의 재산내역을 펼친다. 큰 자산 지급을 축하할 틈 없이 다음 감사 표적을 고르는 건조한 전환이 회차를 당긴다.,L4372~L4561
24,24화,DCA-N02,N02·창원 장부와 명동 4천억 절단,6,6,7,0.22,0.25,0.35,0.10,0.08,정수철이 고립시키려 한 윤일섭을 오히려 승진시키고 창원 직속 TF를 세운다. 한 사람을 살리는 인사 결정이 기존 감사선과 다른 독립 수사조직으로 굳어진다.,L4562~L4738
25,25화,DCA-N02,N02·창원 장부와 명동 4천억 절단,7,5,8,0.36,0.18,0.25,0.11,0.10,"환수금 10퍼센트·내부비리 30퍼센트 성과금 공지가 감사팀의 침묵을 깨고 윤일섭과 강인식을 움직인다. 박권흠 면담에서 채용 뇌물 2천만~4천만 원과 명동 돈 4천억 원에 묶인 창원공장 실권이 드러나며, 후반의 구조 폭로가 더 긴 잔상을 남긴다.",L4739~L4931
26,26화,DCA-N02,N02·창원 장부와 명동 4천억 절단,7,6,8,0.26,0.27,0.19,0.06,0.22,CT 대환과 노조 포섭·특수부대 경호사를 동시에 준비해 실행 수단과 돈·안전장치에 무게가 간다.,L4932~L5107
27,27화,DCA-N02,N02·창원 장부와 명동 4천억 절단,8,5,7,0.19,0.38,0.25,0.11,0.07,이준수를 일부러 자극하고 삐라와 배 반장 소문을 퍼뜨려 파업을 끌어낸다. 조용한 장부조사가 군중이 움직이는 현장전으로 바뀌면서 이준수 쪽이 먼저 모습을 드러낸다.,L5108~L5302
28,28화,DCA-N02,N02·창원 장부와 명동 4천억 절단,8,7,7,0.18,0.36,0.22,0.10,0.14,노조 간부 사법처리와 반대 파벌 결집으로 반대 51퍼센트를 만들어 투표 행동과 수치 보상이 솟는다.,L5303~L5469
