arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
DCA-N01,걸프전 100억 달러와 SAVE 월가 자립,1,10,1화,10화,10,"김민재, 김태중, 태우, 한정훈, 제프리, 데이비드, 조지, 살만, 장수영, 웨이, 로만, 강민","경제연구소, 태우, 미국, 태우증권, 한국, SAVE, 일본, 월가, 사우디, 퀀텀펀드",1화 L1~L255에서 태우그룹 부도 뒤 20년을 빈곤과 복수 집착 속에 버틴 김민재가 고시원에서 각혈하며 죽는다. 김택훈 앞에서 17세답게 행동하고 김태중 생일연회에서 납품가를 호소하는 협력업체 사장의 10억 원 파텍필립 시계를 폭로한다.,"파텍필립 시계의 거짓말을 벗긴 뒤, 김태중이 고교 입학 선물로 따로 준 스위스 은행 100만 달러를 걸프전·파운드 공격과 퀀텀 동맹을 거쳐 40억 달러의 독자 운용권으로 키울 수 있는가?",17세로 돌아온 재벌 3세가 가족과 그룹을 지키고 배신자들에게 복수할 두 번째 기회를 얻는다.,"한정훈의 퇴직 공포, 선물거래의 청산 위험, 김태중의 공격적 세계화 노선을 직접 고치지 못하는 제약이 있다.",청소기에서 실제 왕실 보석이 쏟아져 살만이 사우디 왕실의 영구 지원을 약속하고 태우건설 수주도 두 배가 된다.,"퀀텀펀드의 모든 통화전쟁 장기동맹과 파운드 공격 60억 달러 공동투자 조건, 조지·짐의 추천서 작성 약속, 남은 40억 달러 운용 여력을 얻는다. 추천서 원본과 파운드 붕괴 수익은 아직 미지급이다.","김태중의 용돈을 쓰던 열일곱 살 손자가 한정훈·조지·짐에게 투자판단을 맡길 사람으로 인정받고, 월가팀은 그의 나이보다 반복 적중한 지시를 신뢰하기 시작한다.",스위스 은행 100만 달러 계좌는 걸프전과 파운드 포지션을 거쳐 SAVE·퀀텀 동맹과 40억 달러 독자 운용여력으로 바뀐다.,추천서 실제 수령; 영국 파운드화 붕괴·보험금; 대학 입학·조기졸업; 제프리의 IT 투자,하버드 경제학과 합격증을 김태중에게 보여 준 뒤 강준기 의원의 신민국당 영입 제안을 상속세·언론 검증·5년 임기 논리로 말리고 YS와 DJ 양쪽 지원을 권한다.,① 10화의 퀀텀 장기동맹·조지와 짐의 추천서 작성 약속·40억 달러 운용여력이 월가 자립을 닫되 추천서 원본은 남는다. ② 11화에서는 하버드 합격증과 YS·DJ 양쪽 지원론이 투자전 대신 학업·정치 준비를 시작한다.,0.96
DCA-N01B,하버드·공직자 펀드와 태우 귀환 준비,11,15,11화,15화,5,"김민재, 김태중, 태우, 데이비드, 제프리, 조지, 푸틴, 부시, 로만, 김택훈, 한정훈, 구글","김포공항, 경제연구소, 국회, 태우, 미국, 한국, 월가, SAVE, 하버드, 러시아",11화 L2168~L2352에서 1992년 SAVE는 제프리의 40억 달러를 48억 달러로 키울 만큼 안정됐고 김민재는 1년 6개월 만에 귀국한다. 하버드 경제학과 합격증을 김태중에게 보여 준 뒤 강준기 의원의 신민국당 영입 제안을 상속세·언론 검증·5년 임기 논리로 말리고 YS와 DJ 양쪽 지원을 권한다.,하버드 3년 졸업과 푸틴의 감사를 실제 귀국 자격으로 바꾸면서 제프리·배터리 교수라는 다음 기술투자선까지 열 수 있는가?,하버드 합격이라는 가족 보상을 받고 기업 밖 장기 지지망을 직접 만들 첫 조직 권한을 얻는다.,김태중은 하청업체 착취와 월가가 손자를 미끼로 태우를 노릴 위험을 의심하고 김택훈은 직접 미국까지 가 사실을 검증한다.,김택훈의 조사 결과 김민재가 먼저 퀀텀에 접근해 걸프전·유가 전망으로 인정을 받았다는 서사가 확인되어 김태중이 감시 대신 신뢰를 택한다.,"푸틴의 감사 메시지, 하버드 3년 조기졸업, 귀국 뒤 김태중의 식탁 환대를 받는다. 배터리 교수 접촉·계약·지분 취득은 이 화에 없다.","김민재는 김태중에게 사랑받는 학생에서 조기졸업·귀국을 허락받는 후계 손자로 올라서고, 데이비드에게 제프리와 배터리 교수를 맡길 만큼 사람을 고르는 신뢰를 나눈다.",하버드 3년 졸업과 푸틴의 감사가 귀국 자격으로 확정되며 제프리 창업지원·배터리 지분협상은 담당자와 자금만 정해진 미지급 파이프라인으로 남는다.,태우 내부 수술; 제프리의 아마존 창업; 배터리 교수 지원·지분협상과 실제 계약,양 대리 안내로 고철장과 총무팀을 돌며 악수해 이 부장 등 전원의 비리 특이사항을 확인하고 관리직 전체에 비싼 회식과 술을 사며 외부 인력에 자료 탈취를 지시한다.,① 푸틴 감사와 하버드 조기졸업·김태중의 귀국 식탁은 15화에서 지급되지만 배터리 지분은 지시만 남는다. ② 16화 첫 출근은 창원 고철장·총무팀 장부와 관리직 비리 수술로 상대와 장소를 바꾼다.,0.96
DCA-N02,창원 장부와 명동 4천억 절단,16,31,16화,31화,16,"김민재, 태우, 이 상무, 김태중, 강 대위, 사장단, 이준수, 한지혜, 주영미, 애플, 조지, 서우태","태우 본사, 강 대위 사무실, 베트남 공장, 태우자동차 공장, 회장실, 태우, 감사팀, 명동, 일본, 한국",16화 L3025~L3210에서 1995년 1월 김민재가 태우그룹 차장으로 창원 부품공장에 첫 출근한다. 양 대리 안내로 고철장과 총무팀을 돌며 악수해 이 부장 등 전원의 비리 특이사항을 확인하고 관리직 전체에 비싼 회식과 술을 사며 외부 인력에 자료 탈취를 지시한다.,창원 부품공장의 악수·장부 수집으로 명동 4천억 원 비리망과 47명을 걷어 내고 독립 감사조직을 세울 수 있는가?,회장 손자 행세로 방심시킨 뒤 신상명세서로 공장 전체의 횡령 고리를 잡아 첫 칼춤을 연다.,애플은 적자·1.5달러 주가라 조지가 가치를 의심하고 포드 대량 지분은 미국 정부 감시를 부르며 감사팀장들은 어린 낙하산 본부장을 무시한다.,"월가 보호막과 정치 후원을 이용하면 장기 지분을 살 수 있고, 감사팀 자체가 이준수의 비리를 덮어 온 고양이임이 드러난다.",명동 간섭 제거·47명 숙청과 감사팀 개혁 성과를 얻지만 기술연구소장으로 밀어낼 사장단 합의가 생긴다.,"현장 노동자와 악수하고 장부를 받는 김민재를 김태중이 문제아 손자가 아니라 공장을 살릴 내부 감사자로 보기 시작하며, 명동 실무진도 그의 보호 아래 증언한다.","창원 이중장부와 명동 4천억 원 비리망이 드러나 47명이 정리되고, 김민재에게 독립 감사조직과 공장 인사에 개입할 실행권이 생긴다.",기술·경제연구소 인사; 사장단의 유배 함정; 이선일 정보 거래,윤일섭 TF의 정식 감사6팀 승격과 부장 승진을 받아낸 뒤 기술연구소 독립권·경제연구소 총괄·20명 자기선발을 조건으로 박진훈의 제안을 수락한다.,① 31화의 명동 간섭 제거·47명 숙청·감사팀 개혁이 공장 복수의 영수증이다. ② 32화 사장단 회의에서는 기술연구소 독립권과 20명 선발을 조건으로 유배 제안을 받아 새 기업전이 열린다.,0.96
DCA-N03,이노폰과 박진훈 축출,32,52,32화,52화,21,"김민재, 태우, 박진훈, 김태중, 스티브, 애플, 조나단, 데이비드, 사장단, 우성일, 후쿠다, 박준일","부천 공장, 회장실, 강 대위 사무실, 태우, 태우전자, 미국, 한국, 애플, 일본, 명동",32화 L6006~L6176에서 김태중 귀국 뒤 사장단은 김민재의 감사 성과를 칭찬하며 기술연구소로 보내려 한다. 윤일섭 TF의 정식 감사6팀 승격과 부장 승진을 받아낸 뒤 기술연구소 독립권·경제연구소 총괄·20명 자기선발을 조건으로 박진훈의 제안을 수락한다.,박진훈의 기술연구소 함정을 이노폰 개발·월 10만 대 수요와 태우전자 사장 추천으로 뒤집을 수 있는가?,유배성 승진을 기술·경제·인사 전권으로 역전해 외환위기 대응과 미래 제품의 연구 거점을 얻는다.,"일본 기업은 파생상품 손실을 줄이려 버티고, 황영철은 세계 최초 MP3 구상을 구현할 자금·생산·유통 기반이 없다.","한정훈이 SAVE 예상 이익을 400억 달러로 보고하고 TDK 인수 가능성을 열며, 황영철이 특허 공동소유 조건으로 1억 투자를 제안한다.","국내 재고 30만 대 완판, 미국 30만 대·유럽과 한국 각 10만 대 주문, 월 10만 대 이상 수요를 확인하고 박진훈 퇴진과 사장단의 만장일치 태우전자 사장 추천을 받는다.","박진훈이 유배로 보낸 기술연구소 사람들은 김민재를 임시 지휘자가 아니라 제품을 세상에 내놓을 보호자로 받아들이고, 사장단의 충성축도 박진훈에서 김민재 쪽으로 움직인다.","월 10만 대 수요의 이노폰과 생산조직이 생기고 박진훈은 축출되며, 김민재는 태우전자 사장 추천까지 좌우하는 사업 책임자가 된다.",태우전자 지분 상속과 소유주로서의 경영권은 요구만 제시된 채 남는다,김태중에게 태우전자 지분을 상속받아 만장일치로 사장에 취임한 뒤 현재그룹 장 회장의 자금난을 듣고 SAVE 자금으로 차입을 유도할 미끼를 던진다,① 이노폰 수요와 박진훈 축출·사장 추천이 52화에 모여 연구소 싸움을 끝낸다. ② 53화는 김태중의 태우전자 지분 상속과 현재그룹 차입 미끼로 직함이 아닌 소유권 전쟁을 시작한다.,0.96
DCA-N04,태우전자 소유와 조선·애플 교환,53,71,53화,71화,19,"김민재, 태우, 김태중, 애플, 다이먼, 스티브, 데이비드, 오강철, 강 대위, 살만, 조지, 아크만","강 대위 사무실, 회장실, 태우, 태우전자, 애플, 한국, 태우조선, SAVE, 미국, 태우중공업",53화 L9759~L9940에서 태우전자 사장 추천을 받은 김민재가 직함이 아니라 지분을 요구한 직후 김태중에게 태우전자 지분을 상속받아 만장일치로 사장에 취임한 뒤 현재그룹 장 회장의 자금난을 듣고 SAVE 자금으로 차입을 유도할 미끼를 던진다,태우전자 지분을 받은 김민재가 현재조선·애플·MP3 교환을 거쳐 황영철 팀을 살리고 김태중에게 그룹 세계화·기획실 이동 동의를 받을 수 있는가?,김태중의 지분과 사장단 승인을 받아 계열사를 자기 책임으로 고칠 권한을 얻는 보상,"조선의 상징성과 고용, 오강철·하청비리와 막대한 부채가 매각 판단을 무겁게 만든다",사우디 직인이 찍힌 문서를 보자 사장단과 김태중이 정유 합작을 믿고 조선 매각을 김민재에게 맡긴다,"황영철의 디지털케이스 지분 전량 양도 의사, 직원 보너스용 50억 원 지급 약속, 직원·황영철의 애플 재출발 경로와 김태중의 세계화 구상 동의를 얻는다. 우성일 사장 임명·김민재 기획실 발령·MCA 지분 취득은 아직 실행 전이다.","김태중은 손자에게 태우전자 지분을 넘겨 조언을 듣는 수준을 벗어나 공동 소유자로 대우하고, 황영철 팀과 애플 쪽 인재는 김민재의 교환조건을 장기 경력으로 선택한다.","태우전자 지분·현재조선 교환·MP3와 애플 개발선이 묶이고, 김민재는 그룹 세계화와 기획실 이동에 대한 김태중의 동의를 얻는다. 우성일 사장 임명·기획실 발령·MCA 지분은 실행 전이다.",우성일 사장 임명·김민재 기획실 발령; MCA 레코드 지분 협상·취득; 중국 자동차 진출,사장급 기획본부장이 되어 루마니아산 태우차 중국 판매를 설계하고 쩡훙친을 만난다,"① 71화에서 디지털케이스 지분 양도·50억 원 지급과 직원들의 애플 재출발, 김태중의 세계화 구상 동의가 생기지만 공식 발령·MCA 지분은 남는다. ② 72화의 루마니아산 태우차 중국 판매와 쩡훙친 면담은 첫 세계화 표적을 자동차·중국으로 옮긴다.",0.96
DCA-N05,중국 자동차와 인터넷 외화 출구,72,77,72화,77화,6,"김민재, 태우, 김태중, 기획실장, 데이비드, 쩡훙친, 제프리, 조지, 우성일, 후쿠다, 하재원, 애플","회장실, 태우 본사, 국회, 강 대위 사무실, 태우자동차 공장, 중국, 태우, 한국, 루마니아, 미국",72화 L13226~L13417에서 태우전자 일을 우성일에게 넘긴 김민재가 새 사장급 기획본부장으로 그룹 본사 정문에 들어선다 사장급 기획본부장이 되어 루마니아산 태우차 중국 판매를 설계하고 쩡훙친을 만난다,루마니아 태우차의 중국 판매와 음원·전자상거래·HTS를 묶어 외환위기 전에 외화를 버는 인터넷 조직을 만들 수 있는가?,그룹 전체 조정권과 중국 최고위 인맥의 약점을 이용해 실제 판매 허가를 여는 보상,루마니아 생산량이 작고 합법 음원 확보에는 대형 유통사가 필요하며 전기차는 아직 투자 시점이 이르다,중국 정부의 관세 우대 아래 생산차가 거의 모두 팔려 포드에 내밀 수요 증거가 생긴다,"전자상거래·음원·HTS 전담팀과 자유출퇴근제, 이를 실제로 밀어붙일 제프리를 확보한다","루마니아와 중국의 판매담당자, 제프리와 국내 인터넷팀이 김민재의 서로 다른 실험을 한 조직으로 받아들이며 자유출퇴근제는 감시보다 성과로 신뢰하겠다는 관계 규칙이 된다.",중국 자동차 판매와 음원·전자상거래·HTS 전담조직이 만들어져 태우 안에 외화를 버는 인터넷 사업군과 제프리의 실행자리가 생긴다.,제프리의 한 달 훈련과 직원 이탈 여부; 전자상거래·HTS·호텔예약·A/S 네 프로젝트의 완성,1997년 중국차 10만 대·미국 70퍼센트 성장에도 김태중이 통신사업용 일본 차입을 추진하자 막는다,"① 전자상거래·음원·HTS 전담팀과 자유출퇴근제, 제프리 영입이 77화에 실행진을 남긴다. ② 78화에는 김태중의 일본 단기차입을 막는 외환위기 방어가 새 지배과제가 된다.",0.96
DCA-N06,외환위기 무부채와 사우디 정유,78,86,78화,86화,9,"김민재, 태우, 김태중, 스티브, 애플, 조지, 다이먼, 기획실장, 살만, 사장단, 압둘라, 후쿠다","회장실, 국회, 강 대위 사무실, 태우, 한국, 일본, 미국, 월가, 사우디, 애플",78화 L14343~L14507에서 1997년 새해 기획본부장실에서 김민재는 중국 10만 대와 미국 70% 성장이라는 자동차 실적을 보고받는다 1997년 중국차 10만 대·미국 70퍼센트 성장에도 김태중이 통신사업용 일본 차입을 추진하자 막는다,일본 단기차입을 끊고 사우디 정유·IMF 관계·애플 반등을 이용해 외환위기를 태우의 매입 기회로 바꿀 수 있는가?,좋은 실적에 취해 외화부채를 늘리지 않고 태국에서 시작될 위기를 오히려 투자 기회로 잡는 보상,기존 음반사는 온라인 전환을 두려워하고 전경련 회원들은 위기 책임을 떠넘길 대표를 원한다,김태중이 아무 말도 하지 않았는데도 다른 총수들이 차기 전경련 회장으로 일제히 추대한다,IMF 우호관계와 애플의 소비자·주가 보상을 얻어 국내 위기 매물을 살 명분과 자산가치를 키운다,"김태중은 일본 차입을 막는 손자의 경고를 받아들이고 사우디·IMF 인맥을 함께 쓰는 동업자가 되며, 애플 경영진은 김민재를 위기 때 돈을 대는 우호주주로 인식한다.",일본 단기차입이 차단되고 사우디 정유·IMF 우호선·외화투입으로 태우의 부채율 0% 방패와 위기매입 자금이 마련된다.,카이자동차 인수와 국내 음원·통신 시너지는 새 과제로 열린다,다이먼을 한국으로 불러 카이자동차 인수를 시작하고 베리뮤직 실시간 순위 시스템을 지시한다,① IMF 우호선과 애플 소비자·주가 보상이 86화에 국내 매물을 살 자금·명분을 만든다. ② 87화 다이먼의 카이자동차 인수와 베리뮤직 순위 지시는 위기방어에서 자산인수로 중심을 옮긴다.,0.96
DCA-N07,카이자동차 51%와 카를로스 곤 독립경영,87,90,87화,90화,4,"김민재, 태우, 김태중, 데이비드, 애플, 다이먼, 카를로스 곤, 사장단, 우성일, 고연진, 로만, 강 대위","회장실, 강 대위 사무실, 태우, 한국, 태우전자, 미국, 애플, SAVE, 태우조선, 전경련",87화 L15984~L16165에서 미국 출장에서 돌아온 김민재를 김태중이 저택에서 맞아 얼굴이 반쪽이라며 미국산 소고기까지 걱정한다 다이먼을 한국으로 불러 카이자동차 인수를 시작하고 베리뮤직 실시간 순위 시스템을 지시한다,채권단과 현재자동차의 줄다리기 속에서 카이자동차 51%와 카를로스 곤의 독립경영을 확보한 뒤 고연진과의 첫 만남으로 CL 승계판을 열 수 있는가?,카이자동차 인수판과 베리뮤직 실시간 순위를 동시에 열어 자동차·콘텐츠·통신 확장의 출발점을 만드는 보상,현재자동차는 출자전환을 내세우고 채권단은 더 높은 가격을 받으려 줄다리기를 이어간다,김태중이 달러 현금 지급을 못 박자 다른 후보가 같은 조건을 내기 어렵다는 사실이 분명해진다,"카를로스 곤의 한국행·카이자동차 대표 수락, 5년 이상 고용·500만 달러 보수·독립경영 합의를 얻고 김태중에게 정식 소개한다. 고연진과는 첫 맞선·인사만 시작했을 뿐 승계동맹은 없다.",카를로스 곤은 김민재에게 독립경영을 보장받아 채권단의 관리자가 아니라 카이자동차 재건 파트너가 된다. 고연진은 김태중이 마련한 첫 맞선에서 인사만 나눠 승계불만·동맹은 아직 확인 전이다.,"태우는 카이자동차 51%와 5년 이상·500만 달러·독립경영을 수락한 회생 책임자를 확보하고, CL 장녀와는 첫 대화를 시작할 접점만 얻는다.",고연진의 현재 의사 확인; CL 승계분쟁 가능성; 베리뮤직·CL 자산교환,고연진에게 장녀 승계를 부추기고 아이돌 팬덤을 겨냥한 방송 3사 베리뮤직 후원을 지시한다,① 카를로스 곤의 한국행·5년 이상 계약·500만 달러·독립경영 합의는 90화에 닫히고 고연진은 첫 맞선·인사만 시작한다. ② 91화의 고연진 독려와 방송 3사 베리뮤직 후원은 자동차 인수에서 CL 자산교환으로 협상 상대를 바꾼다.,0.96
DCA-N07B,CL 카드·백화점과 통신·배터리 빅딜,91,95,91화,95화,5,"김민재, 태우, 김태중, 고승택, 우성일, 박만덕, 애플, 데이비드, 고연진, 기획실장, 후쿠다, 카를로스 곤","청와대, 회장실, 태우, 한국, 태우증권, 태우전자, 미국, 애플, CL카드, 일본",91화 L16722~L16900에서 CL의 장자 승계 원칙과 장남 사망을 떠올린 김민재는 맞선 자리의 고연진에게 회사 경영 욕심이 없는지 묻는다 고연진에게 장녀 승계를 부추기고 아이돌 팬덤을 겨냥한 방송 3사 베리뮤직 후원을 지시한다,고연진의 승계 욕망을 지렛대로 CL 카드·백화점과 태우 통신·배터리를 맞바꾸고 새 유통권까지 얻을 수 있는가?,장녀의 경영 의지와 방송 3사 팬덤을 묶어 배터리·통신 빅딜의 내부·시장 명분을 만드는 보상,김태중은 카드에 애착이 있고 고승택은 태우가 배터리를 원한다는 사실을 알면 가격을 올릴 수 있다,김태중이 직접 넥타이를 매만지며 고승택과 맞설 손자를 지지해 조손 내부 반대가 협상 지원으로 바뀐다,"스타벅스 한국법인 50대50 독점권과 전자 20% 성장, 건설 재건의 명확한 문제표를 얻는다","고연진은 김민재를 경쟁그룹의 적이 아니라 자신을 후계자로 세울 거래상대로 선택하고, 두 그룹 실무진은 카드·백화점과 통신·배터리를 맞바꾸는 제한적 동맹이 된다.","CL카드·백화점과 태우통신·배터리의 교환구조, 스타벅스 한국법인 50대50 권리와 전자 성장분이 태우의 유통·결제 기반으로 붙는다.",장수영이 수주 공백을 어떻게 설명하고 태우건설을 살릴 외부 사업을 어디서 구할지는 미결이다,장수영이 외부 자금 없이는 수주가 불가능하다고 하자 SAVE·퀀텀 7퍼센트의 비밀 민자 컨소시엄을 설계한다,"① 스타벅스 한국법인 50대50 권리와 전자 20% 성장, 건설 수주공백이 95화 사장단 표에 함께 드러난다. ② 96화 장수영의 자금난에는 SAVE·퀀텀 비밀 민자 컨소시엄이라는 별도 건설해법이 투입된다.",0.96
DCA-N07C,9호선·거가대교 40년 민자 운영권,96,97,96화,97화,2,"김민재, 태우, 다이먼, 조지, 데이비드, 장수영, 김태중, 샌디 웨일, 사장단, 로만, 강 대위","청와대, 강 대위 사무실, 태우, 태우건설, 한국, SAVE, 월가, 거가대교, 지하철 9호선, 미국",96화 L17616~L17784에서 상반기 사장단 회의에서 장수영은 다른 계열사에 밀린 태우건설과 외환위기 수주 공백을 힘없는 목소리로 보고한다 장수영이 외부 자금 없이는 수주가 불가능하다고 하자 SAVE·퀀텀 7퍼센트의 비밀 민자 컨소시엄을 설계한다,무명 퀀텀 법인과 SAVE 자금으로 9호선 30년 운영계약을 날인하고 거가대교 전액투자·40년 운영 협상의 문까지 열 수 있는가?,퀀텀 이름과 7% 투자만으로 정부 사업의 운영권을 사고 태우건설을 시공사로 되살리는 보상,정부 협상에서 무명 법인은 약하고 SAVE가 드러나면 국내 정치·세금 문제가 생길 수 있다,월가에서 가장 유명한 퀀텀펀드 이름을 컨소시엄 전면에 세우면 총알받이와 신뢰를 동시에 얻는다는 해법이 나온다,"퀀텀펀드의 명칭·지분 7% 참여와 9호선 총 3조5천억 원 중 9천억 원 투자, 30년 MRG·요금결정·운영권이 담긴 서명 계약을 얻는다. 태우건설 주 시공사 지정·9호선 확장 변경·거가대교 수주와 40년 운영권은 아직 미지급이다.","자금난에 몰린 장수영은 정체를 숨긴 SAVE·퀀텀 컨소시엄의 조건을 받아들이며, 김민재는 공개 지배 없이 태우건설을 살리는 배후 조정자로 남는다.",9호선 3조5천억 원·30년 MRG·요금결정·운영계약은 날인되지만 태우건설 주 시공사 지정과 거가대교 1조9천억 원·40년 운영권은 후속 협상에 남는다.,9호선 확장 계약변경·태우건설 주 시공사 지정; 거가대교 전액투자·40년 운영 협상; 다섯 추가 사업,사장단에 태우건설 수주를 공개하고 다이먼이 CL·신세계·태우 통신 3사를 한 달 만에 합병한다,① 97화에는 9호선 3조5천억 원·30년 MRG·요금결정·운영계약만 날인되고 태우건설 주 시공·거가대교는 후속 협상으로 남는다. ② 98화 사장단 공개와 통신 3사 합병은 건설계약에서 통신·플랫폼 재편으로 넘어간다.,0.96
