sequence,visible_label,field,source_lines,manager_start_before,pre_rejection_after,stage_after,bidirectional_result,evidence,adjudication
5,5화,reader_promise,L930~L1168,미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 SAVE의 기반을 닦는다.,미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 미국 투자회사의 기반을 닦는다.,미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 미국 투자회사의 기반을 닦는다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
12,12화,opened_loops,L2353~L2512,장학생 선발; 청년 창업; 공직자 100명 펀드 라인; 기부금 조달,장학생 선발; 청년 창업; 공직자 펀드 라인; 기부금 조달,장학생 선발; 청년 창업; 공직자 펀드 라인; 기부금 조달,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
18,18화,turn_or_reveal,L3403~L3587,SAVE 자금이 150억 달러에서 360억 달러로 컸고 김민재는 CL·현재·현진의 후계 분쟁을 일으켜 알짜 계열사를 먹을 후보로 고른다.,SAVE 자금이 150억 달러에서 360억 달러로 컸고 김민재는 청년경제포럼의 재벌 2·3세들 가운데 승계 분쟁을 일으킬 표적을 찾는다.,SAVE 자금이 150억 달러에서 360억 달러로 컸고 김민재는 청년경제포럼의 재벌 2·3세들 가운데 승계 분쟁을 일으킬 표적을 찾는다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
18,18화,paid_reward,L3403~L3587,"강인식의 충성, 일본 기업·은행의 대규모 파생계약, 재계 후계자 첫 공식 인맥과 다섯 기업 먹잇감을 확보한다.","강인식의 충성, 일본 기업·은행의 대규모 파생계약과 재계 후계자 첫 공식 인맥을 확보한다. 구체 표적 가문은 아직 고르지 않았다.","강인식의 충성, 일본 기업·은행의 대규모 파생계약과 재계 후계자 첫 공식 인맥을 확보한다. 구체 표적 가문은 아직 고르지 않았다.",PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
18,18화,opened_loops,L3403~L3587,CL·현재·현진 승계 분열; 고베 지진 파생 결산; 공장 내부 제보,재벌가 승계 분열 표적 선정; 고베 지진 파생 결산; 공장 내부 제보,재벌가 승계 분열 표적 선정; 고베 지진 파생 결산; 공장 내부 제보,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
22,22화,action,L4175~L4371,"김택훈에게 정수철·이준수·광화문 곰 연결 자료를 받아 강인식에게 넘기고, 한국에 온 조지에게 150억 달러 중 절반인 75억 달러 계약을 120억 달러와 원하는 지분에 팔겠다고 제안한다.","김택훈에게 이준수 상무와 명동 4인방의 연결 자료를 받아 강인식에게 넘기고, 한국에 온 조지에게 150억 달러 중 절반인 75억 달러 계약을 120억 달러와 원하는 지분에 팔겠다고 제안한다.","김택훈에게 이준수 상무와 명동 4인방의 연결 자료를 받아 강인식에게 넘기고, 한국에 온 조지에게 150억 달러 중 절반인 75억 달러 계약을 120억 달러와 원하는 지분에 팔겠다고 제안한다.",PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
22,22화,state_change,L4175~L4371,창원 개인 비리가 감사팀 정수철·이준수·명동 차입금의 구조적 유착으로 넓고 SAVE는 일본 정부 상대 연합을 설계한다.,창원 개인 비리가 감사팀 이준수 상무·명동 차입금의 구조적 유착으로 넓고 SAVE는 일본 정부 상대 연합을 설계한다.,창원 개인 비리가 감사팀 이준수 상무·명동 차입금의 구조적 유착으로 넓고 SAVE는 일본 정부 상대 연합을 설계한다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
22,22화,opened_loops,L4175~L4371,애플·포드 지분 협상; 명동 유착 제거; 감사팀 장악,돈으로 사기 힘든 기업지분 협상; 명동 유착 제거; 감사팀 장악,돈으로 사기 힘든 기업지분 협상; 명동 유착 제거; 감사팀 장악,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
46,46화,opened_loops,L8489~L8672,독일 박람회; 이노폰 판매; 박진훈 축출,독일 박람회; 폴더폰 공개·판매; 박진훈 축출,독일 박람회; 폴더폰 공개·판매; 박진훈 축출,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
50,50화,protagonist_goal,L9210~L9397,이노폰 신뢰가 무너지기 전에 보도 공작의 증거를 보전하고 공개 검증 무대를 준비한다,이노폰 신뢰가 무너지기 전에 허위 결함을 반박하고 공개 검증 무대를 준비한다.,이노폰 신뢰가 무너지기 전에 보도 공작 증거를 보전하고 허위 결함을 공개 검증할 무대를 준비한다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
