sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
681,성공시대 681화,L01,setup,김정렴과 김재규가 김용태의 석탄 통합 뇌물 문건을 대국일보 이재형 기자에게 넘긴다,6,4,8,4,2,1,2,4,원문 #석탄 게이트 전환. 정보 4/5·물질·지위 4/5가 중심이고 긴장 6/10·보상 4/10·훅 8/10으로 새 목표와 상대를 제시한다. 다음 비트는 ‘대국일보가 석탄 비리를 폭로하고 종일은 치앙마이 농장 바나나·파인애플 판로를 함께 점검한다’다.
682,성공시대 682화,L01,escalation,대국일보가 석탄 비리를 폭로하고 종일은 치앙마이 농장 바나나·파인애플 판로를 함께 점검한다,6,4,8,3,2,1,2,5,물질·지위 5/5·정보 3/5가 중심이고 긴장 6/10·보상 4/10·훅 8/10으로 문제 규모나 비용을 키운다. 다음 비트는 ‘김재규가 보도 무마 청탁을 거절하자 김용태 아들의 병역 비리와 시위가 연쇄 폭발한다’다.
683,성공시대 683화,L01,turn,김재규가 보도 무마 청탁을 거절하자 김용태 아들의 병역 비리와 시위가 연쇄 폭발한다,10,4,9,4,5,1,4,4,행동 5/5·정보 4/5가 중심이고 긴장 10/10·보상 4/10·훅 9/10으로 판세·관계의 방향을 꺾는다. 다음 비트는 ‘신직수가 청와대의 김용태 희생 가능성을 전하고 대통령은 김종필과 선거 피해를 계산한다’다.
684,성공시대 684화,L01,turn,신직수가 청와대의 김용태 희생 가능성을 전하고 대통령은 김종필과 선거 피해를 계산한다,8,4,8,4,2,1,2,4,정보 4/5·물질·지위 4/5가 중심이고 긴장 8/10·보상 4/10·훅 8/10으로 판세·관계의 방향을 꺾는다. 다음 비트는 ‘대통령이 사퇴를 요구하고 김종필이 김용태에게 의원직 사퇴와 검찰 출두를 받아낸다’다.
685,성공시대 685화,L01,payoff,대통령이 사퇴를 요구하고 김종필이 김용태에게 의원직 사퇴와 검찰 출두를 받아낸다,7,8,7,4,2,1,2,4,정보 4/5·물질·지위 4/5가 중심이고 긴장 7/10·보상 8/10·훅 7/10으로 이번 소결산을 지급하고 다음 압력으로 넘긴다. 다음 비트는 ‘김용태와 김종필이 잇달아 물러난 뒤 대성은 50억 달러 아라비아 횡단 파이프라인 견적에 들어간다’다.
686,성공시대 686화,L02,setup,김용태와 김종필이 잇달아 물러난 뒤 대성은 50억 달러 아라비아 횡단 파이프라인 견적에 들어간다,6,4,8,4,2,1,2,5,원문 #아라비아 횡단 파이프라인 프로젝트 전환. 물질·지위 5/5·정보 4/5가 중심이고 긴장 6/10·보상 4/10·훅 8/10으로 새 목표와 상대를 제시한다. 다음 비트는 ‘수출입은행 보증 한계가 드러나고 김재규계는 김종필의 서산·제주 자산을 추적한다’다.
687,성공시대 687화,L02,escalation,수출입은행 보증 한계가 드러나고 김재규계는 김종필의 서산·제주 자산을 추적한다,6,4,8,4,2,1,2,4,정보 4/5·물질·지위 4/5가 중심이고 긴장 6/10·보상 4/10·훅 8/10으로 문제 규모나 비용을 키운다. 다음 비트는 ‘리먼브라더스가 1백만 달러 수수료로 5억 달러 보증을 제안하고 종일은 원유 선물 1억 달러 포지션을 유지한다’다.
688,성공시대 688화,L02,escalation,리먼브라더스가 1백만 달러 수수료로 5억 달러 보증을 제안하고 종일은 원유 선물 1억 달러 포지션을 유지한다,4,4,8,3,2,1,2,5,물질·지위 5/5·정보 3/5가 중심이고 긴장 4/10·보상 4/10·훅 8/10으로 문제 규모나 비용을 키운다. 다음 비트는 ‘종희가 아영을 돌보다 루시 인형과 기저귀 소동을 겪어 권력전의 긴장을 가족 희극으로 환기한다’다.
689,성공시대 689화,L02,turn,종희가 아영을 돌보다 루시 인형과 기저귀 소동을 겪어 권력전의 긴장을 가족 희극으로 환기한다,4,4,8,3,2,5,4,2,관계 5/5·감정 4/5가 중심이고 긴장 4/10·보상 4/10·훅 8/10으로 판세·관계의 방향을 꺾는다. 다음 비트는 ‘보증 업무를 마친 종일이 직원들과 과음해 귀가하고 현영의 돌봄 속에서 숨을 고른다’다.
690,성공시대 690화,L02,turn,보증 업무를 마친 종일이 직원들과 과음해 귀가하고 현영의 돌봄 속에서 숨을 고른다,8,4,8,3,2,5,4,2,관계 5/5·감정 4/5가 중심이고 긴장 8/10·보상 4/10·훅 8/10으로 판세·관계의 방향을 꺾는다. 다음 비트는 ‘김종필은 김재규가 석탄 게이트를 키웠다는 정보를 얻고 성태정을 통한 반격의 실마리를 잡는다’다.
691,성공시대 691화,L02,payoff,김종필은 김재규가 석탄 게이트를 키웠다는 정보를 얻고 성태정을 통한 반격의 실마리를 잡는다,7,8,7,4,2,1,2,4,정보 4/5·물질·지위 4/5가 중심이고 긴장 7/10·보상 8/10·훅 7/10으로 이번 소결산을 지급하고 다음 압력으로 넘긴다. 다음 비트는 ‘김용태가 검찰에 출두하고 종일이 청와대 훈장을 받는 날 DMZ 미군 피격으로 전쟁 위기가 터진다’다.
