sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"1","1화","","1","221","검사 김동진이 사채업자 허상도의 살인교사 혐의를 쫓지만 핵심 증인 문재수가 죽고 녹음기도 사라졌다.","권력과 사채업이 얽힌 사건의 실체를 끝까지 파헤친다.","허상도의 살인교사 증거를 확보한다.","차광철 지검장의 압박에도 문재수 사건과 사당파 연결을 재구성한다.","증인은 사망했고 상관은 수사를 막으며 아버지의 자살까지 들먹인다.","차광철이 김동진의 수사를 개인 복수로 규정한다.","김동진이 물러서지 않을 검사라는 첫 인상을 준다.","사회적 지위","권력 내부의 고립이 시작된다.","차광철이 허상도에게 김동진 처리 문제를 넘긴다.","문재수 생존 가능성","녹음기 행방; 허상도와 차광철의 거래","A01","high"
"2","2화","","222","466","차광철은 수사 중단을 명령하고 허상도는 김동진을 처리할 선택지를 고른다.","주인공이 상사의 회유와 위협을 어떻게 뒤집을지 보여준다.","수사권을 빼앗기지 않고 차광철의 공모를 밝힌다.","아버지 죽음까지 들먹이는 차광철에게 법과 증거로 맞선다.","검찰 조직의 인사권과 허상도의 폭력망이 동시에 압박한다.","허상도는 차광철에게 김동진을 굴복시키거나 없애라고 요구한다.","적대 세력의 결속과 다음 충돌이 선명해진다.","관계","차광철-김동진 관계가 상사와 부하에서 공개적 적대로 바뀐다.","김동진이 숨겨 둔 대응책을 꺼낼 차례다.","차광철의 중립성","김동진의 반격 카드","A01","high"
"3","3화","","467","730","김동진은 조직에서 고립됐지만 차광철의 비위를 잡을 준비를 마쳤다.","검사 주인공이 녹음과 법리로 권력자를 역협박한다.","허상도 다음으로 차광철까지 기소할 발판을 만든다.","지검장실에 숨긴 녹음기를 공개하고 수사를 방해하면 함께 처벌하겠다고 선언한다.","차광철은 허상도의 지원으로 검사 자리에 오른 이해관계자다.","차광철이 허상도의 후원을 받은 차태범의 아들이라는 과거가 드러난다.","김동진이 잠시 협상 주도권을 되찾는다.","정보·권한","차광철의 공모 정황이 김동진 손에 들어간다.","허상도가 김동진 제거를 명한다.","김동진의 무대책 상태","숨은 녹음의 효력; 허상도의 살해 명령","A01","high"
"4","4화","","731","988","김동진은 차광철을 눌렀지만 허상도와 검찰 조직의 반격이 시작됐다.","정면승부의 대가가 공권력과 언론을 통해 돌아온다.","구속 프레임을 버티고 수사를 이어간다.","기자 조씨에게 사건을 설명하고 감찰 조사에 대응한다.","믿었던 기자가 배신하고 대검 감찰이 강압수사 혐의로 체포한다.","조 기자의 공격 기사와 감찰의 신속한 체포가 한 세트였음이 드러난다.","주인공의 결백보다 적의 규모가 체감된다.","사회적 지위","정의로운 검사 이미지는 강압수사 검사라는 낙인으로 뒤집힌다.","48시간 뒤 풀려난 김동진이 마지막 수를 준비한다.","언론 조력 기대","김동진의 복수 수단; 허상도의 최종 선택","A01","high"
"5","5화","","989","1224","김동진은 석방됐으나 직업과 명예를 잃고 완전히 고립됐다.","바닥까지 몰린 검사가 증거를 들고 생존 거래를 시도한다.","허상도 곁에 들어가 훗날 복수할 시간을 번다.","살인 녹음을 갖고 있다고 전화해 허상도의 개가 되겠다고 빈다.","허상도는 아들 허준수 때문에 위험을 남길 수 없다고 판단한다.","허상도가 회유가 아니라 제거를 택하고 트럭이 김동진을 들이받는다.","검사 김동진의 첫 생이 강렬하게 종결된다.","생존","현대의 김동진은 사망한다.","죽은 김동진이 낯선 어둠 속에서 다시 의식을 찾는다.","김동진 수사전; 생존 협상","새 몸과 장소의 정체","A01","high"
"6","6화","","1225","1499","김동진은 손발이 묶인 어린 몸으로 어두운 창고에서 깨어난다.","죽은 검사가 왜 과거의 납치 현장에 왔는지 밝힌다.","결박을 풀고 상황과 몸의 정체를 알아낸다.","차태범과 허상도의 통화를 엿듣고 탈출구를 찾는다.","어린 몸과 탈수, 결박 때문에 움직이는 것조차 어렵다.","차태범이 허상도 아들 허준수를 지옥에 살게 하겠다며 아이 앞에서 목숨을 끊는다.","현재가 허준수 납치 사건의 한복판임이 확인된다.","정체·생존","김동진은 과거의 피해 아동 몸에 갇힌다.","죽은 차태범 곁에서 혼자 살아 나가야 한다.","사후 공백","아이의 정체; 연도; 구조 가능성","A02","high"
"7","7화","","1500","1723","결박된 아이는 차태범의 시신과 함께 창고에 버려졌다.","성인의 의지와 어린 몸의 한계가 맞붙는 생존 장면을 준다.","문 쪽으로 이동해 구조 신호를 만든다.","물도 없이 바닥을 기어 잠금장치와 출입구를 향한다.","체력이 급속히 떨어지고 스스로 결박을 풀 수 없다.","허상도와 부하들이 문을 부수고 들어와 아이를 찾아낸다.","납치 현장에서 생존해 새 가족과 접촉한다.","생존·관계","고립 상태가 허상도의 보호 아래로 바뀐다.","허상도가 아이를 아들로 부르며 끌어안는다.","창고 탈출","허상도와 새 몸의 관계","A02","high"
"8","8화","","1724","1964","허상도는 구조한 아이를 허준수라 부르고 병원으로 옮긴다.","주인공이 시간 이동과 새 가족의 규모를 눈으로 확인한다.","자신이 누구이며 언제인지 검증한다.","젊어진 허상도와 아홉 여성, 병실 달력을 차례로 살핀다.","충격과 약물, 어린 신체 때문에 기억과 현실을 즉시 정리하기 어렵다.","달력에 1986년이 적혀 있고 거울을 요청한다.","회귀가 막연한 의심에서 검증 단계로 넘어간다.","시간·정체","현대 검사가 1986년 부잣집 막둥이 몸에 있음을 거의 확신한다.","거울 속 얼굴을 확인하려 한다.","구조자 정체","허준수 얼굴; 빙의 여부","A02","high"
"9","9화","","1965","2201","1986년 병실에서 김동진은 거울을 앞에 둔다.","회귀·빙의와 작품 핵심 능력을 동시에 개방한다.","허준수의 삶을 받아들이고 생존 전략을 세운다.","거울로 일곱 살 허준수 얼굴을 확인하고 허상도를 응시한다.","원래 허준수의 트라우마와 김동진의 원한이 한 몸에서 충돌한다.","허상도 머리 위에 선악의 저울 49:51이 보인다.","주인공은 사람의 선악 비율을 읽는 능력을 얻는다.","능력·정체","김동진은 허준수로 살기로 하고 판단 도구를 확보한다.","악인으로 알던 허상도의 수치가 예상보다 균형적이다.","빙의 여부; 연도 확인","선악의 저울 규칙; 허상도의 변화 가능성","A02","high"
"10","10화","","2202","2423","허준수는 자신을 구한 젊은 허상도의 본심을 선악의 저울로 살핀다.","전생의 원수와 이번 생의 아버지가 겹치는 모순을 파고든다.","허상도가 차광철 가족에게 저지를 보복을 막는다.","아버지의 지시와 부하들의 보고를 조용히 듣는다.","납치에 분노한 허상도는 담보를 빼앗고 차광철을 길들일 계획이다.","허상도가 납치를 계기로 힘을 갈망하며 차광철을 검사로 키울 생각까지 밝힌다.","미래의 악연들이 어떻게 만들어지는지 선명해진다.","정보·관계","허준수는 허상도를 단순 원수 대신 개입 가능한 아버지로 보기 시작한다.","허상도의 선악 수치가 더 악으로 기운다.","허상도의 초기 의도","차광철 길들이기; 보복 저지","A02","high"
