"sequence","visible_label","arc_id","arc_phase","concrete_event","tension_1_10","reward_1_10","hook_1_10","information_weight","action_weight","relationship_weight","emotion_weight","material_or_status_weight","pacing_note"
"1","1화","S1-A01","도입→약속→즉시 보상","고시원에서 죽은 김민재가 17세로 회귀해 김태중 생일연회의 사기 협력업체를 파텍필립 시계로 쫓고 100만 달러를 받는다.","9","9","9","9","6","9","9","8","20년 몰락을 길게 압축한 뒤 회귀·능력·조손 회복·현금 보상을 한 화에서 빠르게 지급한다."
"2","2화","S1-A02","새 목표·인재 탐색","태우증권 앞에서 능력치를 훑어 한정훈과 A급 직원 세 명을 선발하고 220억 원 일본 붕괴 투자를 제안한다.","6","7","8","8","6","7","5","8","큰 부채 목표를 제시한 뒤 사람 찾기와 김태중 허락을 통해 실행팀을 즉시 세운다."
"3","3화","S1-A02","계약·전진","홍콩 법인과 성과계약을 묶고 닛케이 반토막 보험·공매도 3안에 전액을 건 뒤 검정고시 허락을 받는다.","8","7","8","8","7","7","5","8","전액 손실 위험과 교육 시간 단축을 병렬로 밀어 첫 투자 결과를 유예한다."
"4","4화","S1-A02","전환·결산·다음 약속","대출총량제로 닛케이가 폭락해 예상 4,780억 원·실현 1,210억 원을 확인하고 걸프전 12배 베팅으로 넘어간다.","7","10","9","9","5","8","7","10","첫 예측을 숫자와 충성 변화로 충분히 결산하면서 검정고시·사우디행까지 다음 축을 동시에 연다."
"5","5화","S1-A03","확장·중간 보상·위험 진입","한정훈을 미국으로 보내고 사우디 왕실 보석 절도를 막아 살만의 약속과 건설 수주를 얻은 뒤 2억 달러 원유 상승에 건다.","8","9","9","8","8","9","7","9","인맥 보상을 먼저 지급한 다음 전쟁 전날 거액 포지션으로 긴장을 다시 올린다."
"6","6화","S1-A03","전환·1차 결산","이라크 침공으로 유가가 두 배 뛰어 20억 달러를 만들고 김민재와 네 직원이 미국 SAVE로 옮긴다.","8","10","7","8","6","9","7","10","시장 결산 뒤 장수영의 미래 배신과 미국 유학을 붙여 가족·복수 축을 잊지 않게 한다."
"7","7화","S1-A03","재장전·최종 승부 진입","각 35억 원 보너스와 월가 21명 채용 뒤 사막의 폭풍 작전에 맞춰 20억 달러 유가 공매도를 건다.","9","8","10","8","8","7","5","9","조직 확장 보상 후 전 재산 청산 위험을 건 반대 방향 베팅으로 Arc 결산을 다음 화 직전까지 끌어간다."
"8","8화","S1-A04","전 Arc 결산→새 인재 목표","유가 18달러에 청산해 100억 달러를 벌고 D.E 인수 실패 뒤 데이비드가 직원 13명을 빼 와 제프리와 대면한다.","7","10","9","8","7","6","5","10","걸프전의 큰 숫자를 초반에 지급하고 지체 없이 인터넷 시대 인재 사냥으로 목표를 교체한다."
"9","9화","S1-A04","영입 전환·조직 압박","냅킨 선순환과 메기로 제프리를 영입하지만 그의 혹독한 운영에 직원 이탈 위험이 생겨 20~30퍼센트 성과보수를 준다.","7","9","9","8","5","8","6","8","인재 영입 보상 뒤 곧장 과로 비용을 붙이고 퀀텀펀드 제안으로 외부 긴장을 연다."
"10","10화","S1-A04","동맹 확장·다음 승부 설정","조지에게 리라화 다음 공격을 맞혀 모든 전쟁 동맹과 추천서를 얻고 파운드 공매도 60억 달러 TF를 세운다.","8","9","8","9","5","7","5","9","협상과 분석 중심 화지만 국가를 먹잇감으로 삼는 규모 상승과 대학 추천서의 생활 보상이 함께 작동한다."
"11","11화","S1-A05","귀환·권한 획득","하버드 합격으로 김태중을 기쁘게 하고 그의 대선 출마를 막은 뒤 태우그룹 장학재단 운영을 허락받는다.","6","9","8","8","4","10","9","7","식탁의 가족 보상에 정치 판단과 첫 경영권 위임을 겹쳐 귀국의 의미를 크게 만든다."
"12","12화","S1-A05","시스템 구축·전진","200억 원 재단으로 학생·창업자를 선발하고 비주류 공직자 100명을 SAVE 펀드로 묶는 새 라인을 설계한다.","6","7","7","9","5","6","4","7","설계와 대화 비중이 크지만 구체 금액·명단·인센티브로 장기 인재망이 실제 작동하기 시작한다."
"13","13화","S1-A05","가족 신뢰 전환","100억 원 퀀텀 명의 기부를 미끼로 김택훈의 미국 조사를 유도해 김태중에게 월가가 인정한 자신의 가치를 각인시킨다.","7","8","7","8","5","9","7","8","조사극의 긴장 뒤 라면·김밥 기억으로 첫 삶의 생존 상처를 환기하고 펀드 30명 보상을 지급한다."
"14","14화","S1-A05","외연 확장·결산→새 위기","클린턴·푸틴 지원을 지시하고 파운드 전쟁에서 30억 달러를 받은 직후 조지의 프랑화 배신 계획을 간파한다.","8","9","9","9","5","6","4","9","인재 모집 Arc를 정치망과 현금으로 결산한 뒤 동맹 배신 질문으로 곧바로 다음 금융전 긴장을 건다."
"15","15화","S1-A06","시대 점프·새 시즌 진입","퀀텀 역이용·푸틴 감사·배터리 지원을 배치하고 3년 뒤 하버드를 졸업해 창원 공장 입사를 선택한다.","6","9","10","8","5","9","7","8","준비 성과를 빠르게 묶은 3년 점프로 미성년 투자 시즌을 끝내고 기업 내부 수술을 전면화한다."
"16","16화","S1-A06","침투·비리 확인","차장으로 창원 부품공장에 들어가 고철·총무팀 횡령을 확인하고 밤샘 회식 뒤 외부팀을 투입한다.","7","6","8","7","8","6","5","6","순진한 신입 연기와 독자의 비리 선취정보가 교차해 칼춤 직전의 기대를 축적한다."
