"arc_id","arc_name","start_sequence","end_sequence","start_label","end_label","episode_count","main_characters","main_locations","concrete_premise","central_question","promise","pressure_escalation","mid_turn","concrete_payoff","relationship_change","status_or_ability_change","residual_cost","next_arc_bridge","boundary_signals","confidence"
"M201","아이폰 한국 통신 카르텔 돌파","251","255","262","266","5","이정후; 알렉스; 남중현; 고본진; 신도영","인천공항; 정통부; 대한통신 본사; 아이폰 출시 현장","미국 일정을 마치고 귀국한 이정후가 협의를 파기한 통신 3사를 갈라 아이폰 한국 유통과 플랫폼 수익을 되찾는다.","통신·제조 카르텔을 깨고 고가 아이폰을 한국 시장에 안착시킬 수 있는가?","카트리나 복구·애플 공급망·독점 물량을 거래 카드로 써 거절한 조직들이 먼저 조건을 청하게 만든다.","통신 3사 대화 중단, 100만 원대 가격 우려, 넥스콘 24시간 생산 부담, 뒤늦은 GL의 진입 요구가 겹친다.","대한통신이 보조금·할부를 부담한 뒤 사전예약 9만8천 대와 출시 예약 30만 명이 찍혀 협상력이 역전된다.","대한통신 독점 계약 뒤 GL도 마케팅 전액·보조금·정통부 정리를 받아들이고 앱스토어 한국 50억 원·글로벌 1천억 원 매출이 확인된다.","남중현은 카르텔 구성원에서 아이폰 선봉이 되고 고본진은 거부자에서 조건을 청하는 후발 파트너가 된다.","이정후는 통신사에게 허가받는 개발자에서 단말·부품·앱 유통 파트너를 고르는 생태계 설계자로 상승한다.","세 통신사와 제조사의 반발은 사라지지 않았고 GL 공동판매는 초기 독점 뒤로 밀린다.","삼진전자가 스마트폰 특허 협의를 요청하면서 유통전이 제조·OS 표준전으로 넘어간다.","미국 일정 종료와 한국 공항 귀국으로 장소·과업이 전환됨; 통신 3사의 협의 파기로 국내 출시 목표가 새로 점화됨","medium"
"M202","안드로이드 선점 인수","256","257","267","268","2","이정후; 최동석; 오희건; 앤디 루빈","삼진전자; 타이거펀드 한국지부","삼진의 자체 OS 고집에서 시장 공백을 발견한 이정후가 자금난의 안드로이드를 5천만 달러에 인수한다.","아이폰과 충돌하지 않으면서 공개형 스마트폰 OS 축을 먼저 확보할 수 있는가?","특허 위험을 숨겨 깎지 않고 요구액보다 더 주어 개발자 신뢰와 경영권을 함께 얻는다.","삼진의 자존심, 제조사들의 외부 OS 불신, 안드로이드의 자금난과 특허 유사성 의심이 압박한다.","이정후가 4천만 달러 요구에 5천만 달러·무제한 연구비·경영권 보장을 내놓자 루빈이 진심을 받아들인다.","안드로이드 인수와 앤디 루빈의 1년 완성 약속, 구글 공동개발 연결이 성립한다.","루빈은 매각 대상에서 연구 자율성을 보장받은 핵심 동료가 되고 삼진은 잠재적 채택사로 남는다.","타이거펀드는 아이폰 OS의 단일 축에서 폐쇄형·공개형 OS를 동시에 설계하는 표준 보유자로 올라선다.","제조사의 실제 채택은 아직 없고 특허·완성도 위험도 개발 과제로 남는다.","스마트폰 판을 확보한 뒤 부동산 버블 자산을 현금과 데이터로 바꾸는 대규모 매각에 들어간다.","삼진전자 특허 요청으로 상대·목표가 통신 유통에서 제조·OS로 바뀜; 안드로이드 인수 계약 완료 뒤 부동산 자산 매각으로 산업·장소가 전환됨","high"
"M203","부동산 고점 청산과 대현건설 제값 매각","258","264","269","275","7","이정후; 로버트슨; 한정원; 장동준; 장동구; 김재철; 신도영","타이거펀드; 대현그룹; 대현중공업; 대현자동차; AI센터","글로벌 숙박·오피스 자산과 대현건설을 버블 고점에 팔되 데이터·부품·수주 관계를 영구 계약으로 남긴다.","최고가만 좇지 않고 중국 우회자본을 막으면서 현금·정통성·미래 데이터를 모두 얻을 수 있는가?","범대현가의 정통성 경쟁과 셰일 설비 수주를 미끼로 봉인입찰 가격을 끌어올린다.","대현그룹의 자금 부족, 대현중공업의 의심, 16조 원 중국 우회자본, 가처분 위협과 내부고발자 위험이 차례로 커진다.","김재철의 이면계약 문건으로 16조 원 우선협상자를 탈락시키고 대현자동차와 가격 대신 반도체·배터리·차량 데이터를 교환한다.","대현건설 14조 원 입금, 차량 부품 우선권·영구 데이터권, AI 운전보조 연구, 신도영 부회장 승진이 결산된다.","장동구·장동준은 경쟁자에서 장기 산업 파트너가 되고 김재철은 보호받는 내부 증인이 된다.","이정후는 구제 매수자에서 대현가의 정통성을 판정하고 14조 원과 영구 데이터 흐름을 배분하는 거래 설계자로 상승한다.","대현자동차의 고점 확장 위험과 부동산 붕괴가 매수자에게 전가되고 데이터 수익화는 장기 과제로 남는다.","대현건설 거래가 끝난 직후 셰일가스 첫 시추 성과와 정유사 압박이 새 현금화 대상으로 등장한다.","글로벌 부동산 매각 지시로 소유에서 청산으로 주된 행동이 바뀜; 대현건설 14조 원 입금과 AI 데이터 이관으로 거래 루프가 닫힘","high"
"M204","셰일 합의금과 안드로이드 제조 표준화","265","270","276","281","6","이정후; 부시; 오희건; 최동석; 앤디 루빈; 엑슨모빌·셰브론·BP 협상단","미국 셰일가스 현장; 백악관; 한국 스마트폰 매장; 삼진전자; 미국 협상장","AI 시추 성과를 대통령의 공개 인정으로 올리고 정유사 강제매각 압박을 거액 합의금·콜옵션으로 바꾸는 동안 안드로이드를 삼진에 채택시킨다.","정치·언론 압박 아래 자산을 넘기면서도 통제권과 재매입권을 남기고 스마트폰 표준까지 확장할 수 있는가?","실제 시추 생산량과 옴니온 시제품 비교처럼 상대가 부정할 수 없는 실물 데모를 먼저 제시한다.","메이저 정유사 네 곳의 규제 로비, 부시 임기 말 권력 약화, 삼진 자체 OS 자존심과 제조사 불신이 양쪽에서 압박한다.","옴니온에 안드로이드를 얹자 오희건이 실무진 반대를 뒤집고 채택하며, 셰일 협상에서는 피해자 구도를 만든 뒤 의결권을 분리한다.","600억 달러 지급·유가 100달러 시 500억 달러 옵션·10년 콜옵션과 삼진이라는 첫 대형 안드로이드 제조사가 확보된다.","오희건은 특허 고객에서 OS 동맹으로, 정유사들은 강압적 매수자에서 계약상 자금 제공자이자 제한된 주주로 바뀐다.","타이거펀드는 기술 공급자에서 모바일 표준과 국가 에너지 자산의 의결권을 동시에 지키는 산업 조정자로 상승한다.","셰일 경제 지분 70%를 넘겼고 정유사·정치권의 적대는 계약 밖에 남는다.","거액 현금과 정치 안전망을 활용하기 위해 오바마의 대선 캠프로 이동한다.","셰일 첫 시추 보고와 부시 연설로 국가 산업 과제가 시작됨; 600억 달러·추가 옵션·콜옵션 계약으로 매각 조건이 확정됨","high"
"M205","붕괴 직전 정치·조직 포석","271","274","282","285","4","이정후; 버락 오바마; 로버트슨; 장동준; 잡스; 기술팀","오바마 캠프; 한국 대현중공업; 타이거펀드; 애플 개발 현장","이정후가 오바마의 디지털 풀뿌리 선거를 설계하고 장동준에게 건설 붕괴를 경고한 뒤 서브프라임 신호와 아이폰 음성 비서를 함께 준비한다.","금융 붕괴 직전 정치 동맹·기업 우군·차기 제품을 얼마나 안전하게 배치할 수 있는가?","거액 후원보다 휴대폰 영상·학생 개발자·소액 반복 후원, 미래 폭로보다 간접적 생존 조언과 실제 제품 시연을 택한다.","오바마의 두 자릿수 지지율 격차, 장동준의 정통성 집착, 서브프라임 기관 파산, 음성 인식의 잡음·오류가 교차한다.","오바마가 조건 없는 친구로 인정하고 장동준이 경고를 재검토하며 기술팀은 음성 명령의 작동 구조를 완성한다.","대선 핵심 동맹, 대현중공업 생존 경고 상환, 붕괴 포지션 유지, 아이폰 2세대 음성 비서 준비가 묶여 지급된다.","오바마와는 후원자 이상 전략 동맹이 되고 장동준과는 거래 상대에서 위험을 미리 알리는 신뢰 관계가 된다.","이정후의 능력이 돈을 버는 예측을 넘어 정치 조직·기업 생존·소비자 제품을 동시에 준비하는 조정력으로 확장된다.","붕괴를 공개적으로 막지는 못하고 경고를 받은 상대도 최종 결정을 내려야 한다.","서브프라임 전문기관 파산 뒤 금융기관별 생존·인수 설계가 본격화한다.","셰일 매각 결산 뒤 오바마 캠프로 인물·장소·목표가 교체됨; 베어스턴스·AIG·리먼을 분류하는 금융 붕괴 국면으로 다음 과업이 전환됨","high"
"M206","금융 붕괴 제어와 리먼 사냥","275","289","286","300","15","이정후; 로버트슨; 폴슨; 버냉키; 다이먼; AIG 경영진; 리먼 경영진; 산업은행 관계자","뉴욕 타이거펀드; 백악관; 뉴욕 연은; JP모건; AIG; 리먼브라더스; 채권단 협상장","베어스턴스부터 AIG·리먼까지 연쇄 붕괴에서 은행 우군을 살리고 보험·CDS 지급 원칙을 지키며 리먼을 주당 1달러 인수 조건까지 몰아간다.","시스템을 완전히 무너뜨리지 않으면서 경쟁 금융사를 제거하고 리먼 자산을 최소 가격으로 확보할 수 있는가?","예치금 동맹, 연은 SPV 3천억 달러, CDS 원금 지급, 양당 정치 안전망을 거래별로 조합한다.","베어스턴스 유동성 고갈, AIG 담보 추가 요구, 산업은행 백기사, 리먼 구제 논쟁, 채권단 저항이 15회에 걸쳐 단계적으로 상승한다.","산업은행 인수를 차단하고 정부의 리먼 구제 불가 결정을 받은 뒤에도 CDS 지급 원칙을 지켜 시장의 마지막 신뢰를 산다.","베어스턴스는 JP모건이 인수하고 AIG 공격은 은행 동맹으로 꺾이며 리먼 채권단은 주당 1달러 매각에 굴복한다.","다이먼·연은·백악관은 이정후를 사익만 좇는 공매도자가 아니라 시스템 작동을 위해 돈과 구조를 내는 우군으로 인정한다.","이정후는 시장 참가자에서 은행 생사·구제 명분·인수 가격을 조정하는 사실상 위기 설계자로 올라선다.","리먼 부채와 독성자산을 실제로 삼켜야 하고 AIG·정부와의 이해관계도 완전히 끝나지 않는다.","채권단 굴복 다음 회차에서 리먼을 1달러에 인수하고 외환은행과 합칠 실행 단계로 넘어간다.","베어스턴스·AIG·리먼 생존 분류로 금융 붕괴가 주된 단일 과제가 됨; 리먼 채권단의 주당 1달러 수락으로 협상 국면이 닫히고 인수 집행이 열림","high"
"M207","리먼·외환은행 합병과 셰일 반값 회수","290","294","301","305","5","이정후; 로버트슨; 한국 정부·외환은행 관계자; 엑슨모빌·셰브론·BP 경영진","리먼브라더스; 한국 금융당국; 외환은행; 미국 정유사 협상장","주당 1달러 리먼을 인수해 외환은행과 묶고 한미 통화스와프를 성사시킨 뒤 폭락한 정유사에서 셰일 지분을 되산다.","붕괴 때 확보한 금융·에너지 자산을 정부 승인과 계약 독소조항까지 이용해 실제 지배력으로 바꿀 수 있는가?","한국 외환 안정과 미국 금융 정리라는 양국의 필요를 합병 승인 카드로 묶고 정유사에는 기존 콜옵션을 집행한다.","리먼 독성자산, 외환은행 해외자본 논란, 통화위기, 유가·정유사 주가 폭락과 매도자의 체면이 거래를 막는다.","한미 통화스와프가 합병의 공공 명분을 만들고 정유사들은 현금 확보를 위해 반값·제한 조건의 재매입을 받아들인다.","리먼·외환은행 금융지주 통로와 셰일가스 지분 반값 회수, 1차 매각대금은 그대로 남는 이중 수익이 지급된다.","양국 정부는 타이거를 위기 해결 파트너로 인정하고 정유사들은 강제 매수자에서 궁지의 매도자로 역전된다.","타이거펀드는 500억 달러 종잣돈의 위기 투자자에서 국제 금융지주와 에너지 지배권을 가진 소유자로 상승한다.","로버트슨의 은퇴 욕구와 거대 금융지주 통합·감독 비용이 새 조직 비용으로 남는다.","스승을 붙잡을 새 역할을 찾는 과정에서 메이도프 위험과 뉴욕 메츠 거래가 등장한다.","리먼 1달러 인수 집행으로 앞선 협상 약속이 실제 소유로 전환됨; 셰일 지분 회수 완료 뒤 로버트슨의 은퇴라는 조직 과제로 초점이 바뀜","high"
"M208","메이도프 폭로와 올드머니·메츠 흡수","295","300","306","311","6","이정후; 로버트슨; 다이먼; 윌폰 가문; 메이도프; 오바마; 옴니스 분석팀","JP모건; 뉴욕 사교계; 뉴욕 메츠 구단; 타이거펀드; 야구 분석실","메이도프 사기를 먼저 확인해 우군과 메츠 구단주를 탈출시키고 붕괴 뒤 올드머니 자금·뉴욕 메츠·새 분석 시스템을 확보한다.","사기 붕괴를 이용한다는 반감을 피하면서 신뢰와 구단·장기 자금을 조직 자산으로 바꿀 수 있는가?","수익률 약속이 아니라 계좌·거래 실재 여부를 확인하고, 빼낸 사람과 손실 본 올드머니에게 안전자산·실물 운용을 제시한다.","사교계 권위, 조기 환매 시 노출 위험, 윌폰 가문의 구단 자금난, 올드머니의 금융 불신이 겹친다.","메이도프 거래가 실재하지 않음을 증명하고 JP모건·윌폰 가문을 먼저 빼낸 뒤 공개 붕괴에서 예측 정확성을 확인받는다.","올드머니 장기 자금, 뉴욕 메츠 인수, 오바마 당선, 옴니스 야구 분석과 아이폰 영상통화 개선 과제가 지급된다.","JP모건·윌폰·올드머니는 의심하는 고객에서 생존을 빚진 장기 동맹으로, 로버트슨은 은퇴 대신 새 조직 역할을 찾는 스승으로 남는다.","타이거펀드는 위기 승자 이미지를 넘어 전통 자산가의 보관소이자 프로구단·기술 조직의 소유자로 확장된다.","메츠는 성적을 증명해야 하고 새 장기자금은 단기 고수익 대신 안정 운용 책임을 요구한다.","분산 신뢰 시스템을 찾던 기술 논의가 비트코인 노드 실험과 공장 자동화로 이어진다.","메이도프 계좌 검증으로 새 사기 대응 과제가 시작됨; 메츠 인수·오바마 당선·옴니스 개선안 수령으로 사람·자산·기술 보상이 결산됨","high"
"M209","비트코인 노드와 로봇 자동화의 새 시스템","301","303","312","314","3","이정후; 기술팀; 보스턴 다이내믹스 연구진; 미국 공장 경영진","타이거펀드 기술실; 분산 서버망; 미국 공장; 보스턴 다이내믹스","중앙 신뢰 없이 작동하는 비트코인의 노드를 분산시키고 중국 임금 상승에 맞서 미국 공장을 인간·로봇 협업 체제로 바꿀 후보를 찾는다.","돈과 생산을 특정 기관·저임금 지역에 의존하지 않는 새 시스템을 실물로 시험할 수 있는가?","초기 코인을 가격 투자보다 노드·보안 실험으로 다루고, 인력 해고보다 머신비전·물류 자동화와 재배치를 설계한다.","초기 참여자 부족, 노드 집중 위험, 판단·손을 함께 쓰는 공정, 중국 임금 연 25% 상승이 압박한다.","노드를 여러 지역에 분산한 뒤 넘어져도 일어나는 보스턴 다이내믹스 로봇에서 소프트웨어 자동화의 물리적 빈칸을 발견한다.","분산 결제 실험 기반, 공장 인건비 20% 절감안, 로봇 인수·협업 후보가 지급된다.","현장 경영진과 연구자는 비용 대상이 아니라 새 시스템을 함께 구현할 조직 파트너로 재배치된다.","이정후의 능력이 금융 예측에서 통화 네트워크와 육체노동 자동화를 동시에 설계하는 시스템 역량으로 넓어진다.","비트코인은 신뢰·가격이 검증되지 않았고 로봇팀 구성 과정은 번호 단절로 확인되지 않는다.","314화 뒤 315~316 표식이 없고 다음 실제 317화에서 앤디 루빈이 로봇 참여를 자청하며 오바마 취임식으로 이동한다.","비트코인 노드라는 신규 기술 실험으로 앞선 메츠 과제가 교체됨; 자동화 20% 절감안과 로봇 후보 확인 뒤 실제 표식이 314화에서 317화로 단절됨","medium"
"M210","로봇 조직 결성·정치 공격 역전","304","308","317","321","5","이정후; 앤디 루빈; 버락 오바마; 로버트슨; 한국지부 임직원; 국가 원로; 청와대 비서실장","타이거펀드 사무실; 오바마 취임식; 백악관; 한국지부; 청와대","번호 단절 뒤 루빈의 자발적 합류와 오바마의 경기부양 요청을 받고 한국으로 돌아와 국정감사 공격을 고용·시장 영향력으로 뒤집는다.","기업 탈세 프레임을 정면 로비 없이 조직 성과와 일자리·시장 안정의 필요로 무력화할 수 있는가?","7시51분 출근과 산하 기업 보고라는 회사 표면 아래 20만 일자리·본사 인터뷰·정부 지원을 단계적으로 사용한다.","315~316 표식 부재, 낮은 실효세율 공격, 국가 원로의 강행, 주가·환율·외국인 이탈 위험이 상승한다.","로버트슨 인터뷰가 국내 감사 문제를 환율·외자 문제로 키우자 청와대가 먼저 진정과 협력을 요청한다.","로봇 핵심 인력, 대통령의 투자 파트너 인정, 성장한 한국 조직, 청와대 산업·인허가 지원 창구가 지급된다.","루빈은 별도 사업 책임자에서 자발적 로봇 동료가 되고 청와대는 감독자에서 시장 안정을 부탁하는 협력자로 바뀐다.","신입사원식 루틴을 지키는 이정후가 수백억 달러 기업군과 국가 고용·외환에 영향력을 주는 민간 리더로 인정된다.","정치권 반감과 과도한 국가 의존 위험은 남고 단절 구간의 결심 과정은 확인할 수 없다.","정치 여진을 남긴 채 아이폰 3세대 판매와 일본 서비스 합작이라는 제품·해외시장 과제로 전환한다.","원문 315~316 표식 부재 뒤 317화 첫 실제 장면에서 루빈·오바마가 새 인물과 과업을 열음; 청와대와 시장 진정 교환 완료 뒤 아이폰 3세대 출시로 산업·장소가 바뀜","medium"
