sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
254,"254화",S06-A01,"발단·추적","왕복선 생환 직후 조도겸이 미사일 파편을 역추적해 바일넬 기지의 용병 5천 명과 잠수함 시설을 장악한다.",8,8,8,15,35,10,10,30,"생환의 감정 보상을 짧게 지급한 뒤 기자회견·해상 추적·기지 제압을 연속 배치하고 지휘관 심문 직전에서 끊는다."
255,"255화",S06-A01,"확대·외교","바일넬의 러시아·대부 지원을 확인하고 정부 수뇌와 식사한 조도겸이 국내 50조 원 투자를 선언한다.",7,7,9,20,15,25,15,25,"심문 정보에서 황연우·윤경영의 걱정과 투자 발표로 숨을 고른 뒤 러시아 영공 침범으로 다시 급상승한다."
256,"256화",S06-A01,"결산·재도발","블리자드로 러시아 전투기 네 대를 살려서 포획하고 대부 관련 사업 127곳의 실물 자산을 공격한다.",9,8,8,15,40,10,10,25,"공중 마법 시연을 중심으로 국가 도발을 결산한 다음 전장을 대부의 글로벌 재산으로 넓힌다."
257,"257화",S06-A02,"발단·정치압박","러시아·중국이 한국 의원들에게 총 4억 달러를 뿌려 반복 국정감사를 설계했음이 드러난다.",8,2,9,30,5,25,15,25,"외교 구도와 뇌물 규모를 정보 위주로 쌓고 조도겸의 정면 출석 선택으로 청문장 기대를 만든다."
258,"258화",S06-A02,"결산·역공","국정감사에서 20조 원 국내 투자를 약속하고 매수 의원들의 사진·영상을 공개해 퇴장시킨다.",7,9,7,20,15,25,15,25,"공격 질문을 투자 약속과 폭로로 차례로 반전시키고 메타버스 사회문제라는 진짜 과제를 남긴다."
259,"259화",S06-A03,"발단·거래","우크라이나에 30% 할인·20년 분할 방어망을 팔고 원자재 우선권과 미개발 자원 권리를 받는다.",7,7,8,25,10,20,10,35,"러시아 제재를 계약 수치로 역전한 뒤 조민우의 귀국과 작은아버지 면담을 교차해 가족 갈등을 건다."
260,"260화",S06-A03,"관계전환","옛 저택의 갈비찜 아침 식탁에서 조민우가 세운을 더 잘 키운 조도겸을 인정하면서 대부 타도를 청한다.",7,4,8,15,5,35,35,10,"전쟁 속도를 늦추고 갈비찜·끝자리·가족규칙으로 과거 배제를 복원해 불편한 무릎 장면에 도달한다."
261,"261화",S06-A03,"결산·위기전환","‘작은아버지’ 호칭을 거부한 조도겸이 위반 시 죽는 계약으로 조민우를 묶고 50조 원을 댄다.",8,5,10,20,10,35,20,15,"화해 기대를 명시적 불신과 생명 계약으로 꺾은 뒤 러시아 병력 80% 집결로 개인 거래를 전쟁에 접속한다."
262,"262화",S06-A04,"발단·실전검증","키이우에서 미사일 14발을 30분 만에 없애고 내부 공항 폭파범 영상까지 공개한다.",9,8,8,20,30,15,10,25,"젤렌스키의 불신을 실시간 방공으로 빠르게 해소하고 3천 대 러시아 탱크 열세를 다음 문제로 세운다."
263,"263화",S06-A04,"확대·포획","거대 지네 환상·독안개·아공간으로 러시아 전차 약 600대와 전투기를 전리품화한다.",8,9,7,15,40,10,10,25,"전선별 포획 액션과 장비 가격 계산을 교차해 전쟁을 물질 보상으로 환전한다."
