arc_id,arc_name,start_sequence,end_sequence,start_label,end_label,episode_count,main_characters,main_locations,concrete_premise,central_question,promise,pressure_escalation,mid_turn,concrete_payoff,relationship_change,status_or_ability_change,residual_cost,next_arc_bridge,boundary_signals,confidence
"N204-01","겜마블·드론 조작극 결산에서 메타버스 설계로 (선행 202~203 병합 필수)","204","204","ⓚ204화.","ⓚ204화.","1","조도겸; 서광수; 김장욱; 오창건; 0호기","서울 수사망; 무인도; 세운메타버스 사무실","202~203화 겜마블 인수·서울 드론 시범운행 뒤 가짜 충돌과 폭행극이 공개 증거로 무너진 상태에서 도겸이 김장욱을 처분하고 확보한 조직으로 메타버스의 세 기반을 정한다.","선행 드론 조작극의 배후를 완전히 제거하고 VR·데이터센터·가상경제가 있는 새 세계의 실제 제작선까지 열 수 있는가?","선행 회차에서 확보한 겜마블 인재와 드론 운행권을 새 세계의 조직·기술 기반으로 바꾼다.","수사망을 피해 도주하는 김장욱이 자산과 밀입국 루트로 다시 살아날 여지가 있고, 5천 명 조직은 구체 제작틀 없이 기존 게임만 고치고 있다.","김장욱은 돈과 권력이 통하지 않는 무인도로 보내지고 서광수는 VR 기기·데이터센터·독자 경제 시스템을 필수 조건으로 제시한다.","김장욱 조직의 재기 가능성이 닫히고 조도겸은 비트코인을 통화로 택해 5천 명 조직에 실제 메타버스 제작선을 연다.","서광수는 지친 고문에서 새 세계를 만들 초대 사장으로 되살아나고 김장욱은 시민운동가 가면과 조직 지배력을 모두 잃는다.","조도겸은 조작극의 피해자에서 배후를 격리한 통제자이자 VR·서버·가상경제 설계자로 이동한다.","직업 대체 갈등은 남고 VR·서버·경제 시스템은 아직 하나도 완성되지 않았다.","세운전자 미래혁신팀의 조악한 VR과 대규모 서버의 전력·냉각 문제가 첫 제작 시험이 된다.","① 자연 범위는 202화 겜마블 인수·드론 시범운행에서 시작하므로 이 행은 선행 202~203과 병합해야 한다; ② 203~204화 공개 폭로·무인도 처분으로 김장욱 루프가 닫힌다; ③ 204화 말 장소·목표가 여론전에서 VR·데이터센터·통화 제작으로 바뀐다","high"
"N204-02","환상 VR에서 1억 이용자 메타버스 경제까지","205","210","ⓚ205화.","ⓚ210화.","6","조도겸; 서광수; 김건웅; 0호기; 데이비슨; 파커; 마이크; 세운전자 미래혁신팀; 메타버스 이용자들","세운전자 VR 연구실; 부산 데이터센터 시험장; 판교 사옥; 영국 병실; 가상 축구장; 가상 서울·뉴욕·파리","환상·최면 마법과 해저 데이터센터로 몰입형 VR을 만들고 식물인간 데이비슨 부자의 재회로 인간 효용을 증명한 뒤 한국·북미·유럽 출시와 가상 상점·부동산·노동·랜덤박스로 1억 이용자 경제를 연다.","현실과 구분되지 않는 위험한 시제품을 안전한 두 번째 삶이자 지속 가능한 세계 경제로 키울 수 있는가?","기술 시연을 한 가족의 회복, 대규모 이용자 신뢰, 실제 매출과 통화 가치로 순서대로 환전한다.","완전 동기화의 정신 위험, 세계 데이터·서버 병목, 5천 명 직원의 과로, 고가 기기와 중독·확률 과금 비용이 겹친다.","데이비슨이 병상 곁 아버지 말을 기억한 채 가상세계에서 파커를 만나고, 이 재회가 롤북 홍보와 10만 베타 신청을 부른다.","파커는 아들과 네 시간 대화하고 접속권을 얻으며, 출시 두 달 뒤 이용자 1억·동시접속 6천만·랜덤박스 첫날 200억 원과 월 6천억 원 전망이 지급된다.","파커는 무력한 간병인에서 아들과 함께 사는 이용자로, 마이크는 회의적 플랫폼 회장에서 글로벌 홍보 동맹으로, 이용자는 관람객에서 집·직업·재산을 가진 주민으로 바뀐다.","환상·최면은 VR 엔진으로, 방어마법은 해저 인프라로 확장되고 세운메타버스는 시험 회사에서 세운전자 매출을 따라잡는 독점 플랫폼이 된다.","정신 안전·미성년 중독·현실 노동 이탈·도박성 과금 문제가 남고 조민우와 대부가 비트코인 가격 공격을 준비한다.","중국·러시아의 비트코인 금지와 대량 매도가 메타버스 통화·조도겸의 8서클 성장을 동시에 시험한다.","① 205화에 장소와 목표가 여론전에서 VR 연구실·인프라 제작으로 교체된다; ② 205~207화의 시제품·부자 재회는 208~210화의 공개 출시가 받아 같은 누적 약속을 확장한다; ③ 210화 이용자·매출 정량 결산 뒤 적이 비트코인 공격으로 전환한다","high"
"N204-03","비트코인 방어와 8서클 개방","211","212","ⓚ211화.","ⓚ212화.","2","조도겸; 황연우; 김건웅; 서광수; 0호기; 가르틴; 세운메타버스 직원들","백두빌딩; 세운메타버스; 세운 상품 결제망; 조도겸 사무실","중국·러시아의 금지로 하루 8% 폭락한 비트코인을 세운 실물 결제·광고 수익으로 받치고, 일일 300억 원대 성과를 직원과 나눈 끝에 8서클을 연다.","메타버스의 독점 통화가 국가 규제를 견디며 현실 사용처와 신뢰를 얻고 다음 마법 단계까지 보상할 수 있는가?","가격 방어를 단순 매입이 아니라 실물 결제·광고·직원 보상·능력 성장으로 닫는다.","450만 비트코인 보유와 메타버스 통화가 함께 흔들리고 창립멤버들은 추가 매입과 변동성 높은 실물 결제를 반대한다.","세운 제품이라는 현실 사용처가 붙자 한 달 뒤 가격이 안정·상승하고 로그인 광고가 이용자 2억 명 기준 최소 40억 원 수익을 만든다.","비트코인은 금지 충격을 버티고 메타버스 일일 매출이 300억 원을 넘으며 서광수 100억 원 등 직원 성과급과 8서클 개방이 가능해진다.","창립멤버는 숨겨진 35% 보유 사실까지 공유받는 위험 공동체가 되고 직원은 과로 인력에서 성과를 계좌로 나누는 동료가 된다.","조도겸은 통화 방어자에서 헬파이어·매스 텔레포트·그랜드 실드·컨트롤 웨더와 추가 마탑 권한을 가진 8서클 마법사로 오른다.","통화 중앙집중·광고 과잉과 국가 규제 위험은 남으며 새 마법을 국민중심당과 국가 성과로 증명해야 한다.","윤경영의 조기 대선 명분을 만들 한국형 미사일 방어 체계가 새 지배 목표가 된다.","① 211화에 상대가 이용자 시장에서 중국·러시아 규제로 바뀐다; ② 가격 안정·광고 수익·8서클 개방이 212화에 한꺼번에 결산된다; ③ 212화 후반 장소·인물이 윤경영 회동과 전국 마탑으로 바뀌고 다음 목표가 대선·국방으로 교체된다","high"
"N204-04","미사일 납치망에서 윤경영 대통령 당선까지","213","216","ⓚ213화.","ⓚ216화.","4","조도겸; 윤경영; 황연우; 0호기; 존 데스타; 북한군; 국민중심당 관계자들","서울 도로 마법진; 한국 상공; 국민중심당; 부산·광주·대전 마탑; 조도겸 사무실의 치킨 식탁","서울 도로와 군사용 위성에 마법을 새겨 북한 미사일 세 발을 없애고 조롱받던 윤경영의 안보 공약을 실제 신뢰로 바꿔 조기 대선 승리까지 끌고 간다.","신생 정당의 약한 조직력과 허풍 취급받는 방어 공약을 실전 증거·전국 호감·표로 환전할 수 있는가?","국가를 지킨 한 장면이 후보 인정, 마탑 지지, 실제 당선과 공공 포탈로 이어진다.","서울 전체 마법진의 기술 난도와 언론 조롱으로 지지율이 7% 떨어지고, 탄핵 정국의 거대 양당 견제까지 겹친다.","북한 미사일 세 발이 폭발 없이 사라지자 언론과 민심이 즉시 뒤집히고 미국도 기술의 실재와 설치 가치를 인정한다.","윤경영은 47% 출구조사로 대통령에 당선되고 조도겸·황연우는 치킨과 맥주를 부딪치며 집권을 생활 장면으로 확인한다. 취임 뒤 전국 포탈에 국가 30% 보조금도 붙는다.","윤경영은 비밀 후보에서 국가를 지킨 대통령으로, 황연우는 서울시장 동료에서 5년 뒤 후계 후보로 명시되며 둘의 치맥 식탁은 집권 핵심 관계를 보상한다.","8서클 마법은 개인 비밀에서 국가 방어·수십조 원 수출·전국 마탑 정치 기반으로 격상된다.","마법 여론 개입과 도시 방어망 비밀, 국회 약세가 남고 황연우의 미혼 생활과 세계 곡물 가뭄이 다음 생활·정권 부담이 된다.","조민우의 곡물 카르텔과 37년 만의 가뭄에 맞설 독자 농업기지가 필요해진다.","① 213화 목표·장소가 통화 방어에서 위성·서울 도로의 국가안보로 바뀐다; ② 214화 실전 요격 뒤에도 대선이라는 누적 약속이 남아 215~216화로 이어진다; ③ 216화 당선·치맥·공공 포탈로 정치 루프가 닫히고 상대가 곡물 카르텔로 교체된다","high"
"N204-05","고비사막 자동농장과 한국 식탁 방어","217","220","ⓚ217화.","ⓚ220화.","4","조도겸; 0호기; 김건웅; 바톨강; 트란프; 가르틴; 조민우; 알버튼; 한국 소비자들","고비사막; 몽골 대통령실·의회; 백악관; 자동농장; 한국 대형마트와 백두빌딩","곡물 카르텔이 계약을 막자 고비사막을 물·흙 지팡이와 기후·화산·정화·성장 마법으로 자동농장화하고 세계 흉작 속 전년도 가격 곡물로 한국 식탁을 지킨다.","물과 흙이 없는 사막을 16주 수확 농장으로 바꾸고 카르텔보다 싼 곡물을 실제 소비자 가격과 정권 신뢰로 전달할 수 있는가?","토지 확보와 마법 공정이 밀가루 가격·주부의 안도·윤경영 지지율 반등이라는 생활 영수증으로 끝난다.","컨트롤 웨더의 막대한 마나, 모래 토질과 용암 위험, 세계 최악 흉작·카르텔 보복, 고비의 영하 30도 겨울이 차례로 닥친다.","0호기가 그로스를 농장 전체 마법진으로 바꾸고 골렘이 30분 만에 파종해 수확주기를 약 16주로 줄인다.","세운 곡물이 전년도 가격으로 풀려 밀가루와 밥상 물가가 안정되고 주부들이 안도하며 윤경영 지지율이 반등한다.","바톨강은 외국 정상에서 농업 협상 파트너로, 0호기는 비서에서 대면적 공정 설계자로, 조도겸은 카르텔 경쟁자에서 국민 식탁 공급자로 인정된다.","고비 황무지는 물·흙·성장·골렘이 결합한 자동 식량기지로 바뀌고 8서클 그랜드 실드의 농업 활용선이 열린다.","겨울 온실과 연중 수확은 아직 미완이며 곡물 카르텔은 해외 시장에서 계속 세력을 넓힌다.","220화 말 겨울 농업 해법이 221화 초에 닫히는 동안 황연우의 약혼이 가족·복지 아이 보호라는 새 관계축을 연다.","① 217화 계약 상대·장소가 정치에서 몽골 사막·곡물 카르텔로 바뀐다; ② 토지·촉매·토질·파종이 220화 한국 식탁 가격이라는 큰 결산까지 누적된다; ③ 220화 후반 겨울은 운영 잔여 비용이고 221화부터 핵심 인물이 서민지·복지 아이들로 교체된다","high"
"N204-06","형수님 편입과 복지센터 아이 보호","221","223","ⓚ221화.","ⓚ223화.","3","조도겸; 황연우; 서민지; 복지센터 아이들; 김영한; 김정철; 0호기","고비 마법 온실; 조도겸 저택 욕실; 황연우 결혼식; 밝은복지센터; 정철정밀","고비의 연중 농업을 확인한 날 황연우의 약혼 소식을 받은 도겸이 서민지를 즉시 형수님으로 환대하고, 결혼·복지관 약속을 거쳐 아이들의 옷과 신발을 빼앗은 가해자와 방조 부모를 끊어 낸다.","거대 사업의 결실이 가장 가까운 동료의 결혼과 보호받지 못한 아이들의 안전이라는 실제 관계 보상으로 내려올 수 있는가?","형수 호칭과 결혼식의 공개 편입, 아이의 환호와 직접 되갚는 장면으로 가족·보호 약속을 지급한다.","황연우의 정치적 결혼 부담, 복지관 아이들의 침묵과 보복 공포, 공급사 사장 아들의 학교 권력이 보호 약속을 시험한다.","도겸이 기부 물품 강탈을 알아내고 김영한 친구들이 등을 돌린 가운데 피해 아이 한 명이 직접 되갚게 한다.","대통령 화환과 여야 의원이 모인 결혼식에서 도겸은 아들을 장가보내는 듯 느끼고, 복지 아이들은 세운 회장의 보호가 말뿐이 아님을 확인한다.","서민지는 낯선 복지사에서 공개 배우자이자 형수님으로, 황연우는 정치 동료에서 결혼 소식을 먼저 들고 오는 형으로, 아이들은 침묵 피해자에서 보호받는 내 사람으로 바뀐다.","그랜드 실드 온실로 연 4~5회 수확이 가능해지고 사적 가족·보호 관계가 사회공헌 과제로 확장된다.","미성년 폭력 응징과 계약 해지의 과잉 비용, 일회성 기부로는 보호를 지속할 수 없다는 한계가 남는다.","외할머니 식탁에서 보호의 근원을 되짚고 2조 원 재단과 대학으로 제도화한다.","① 221화 중반 핵심 인물·목표가 농장 운영에서 황연우·서민지의 가족 편입으로 바뀐다; ② 222화 결혼·복지관 약속이 223화 아이 보호로 누적된다; ③ 가해자 처분 뒤 목표가 개인 응징에서 재단·교육 제도로 교체된다","high"
"N204-07","외할머니 식탁에서 세운대학교까지","224","226","ⓚ224화.","ⓚ226화.","3","조도겸; 유말숙; 황연우; 서민지; 김건웅; 윤양진; 코일; 세운대 학생들","유말숙 식당; 백두빌딩; 경진대학교; 골프장; 세운대학교","외할머니가 직접 차린 밥 앞에서 생명의 빚을 되새긴 도겸이 복지 아이 지원을 2조 원 재단, 부패 대학 인수, 무료 등록금·조기 취업으로 제도화한다.","사적 은혜와 일회성 보호를 수만 학생의 생활비·교육·경력으로 이어지는 지속 구조로 만들 수 있는가?","가족 식탁의 빚을 무료 교육과 취업 보장이라는 제도적 보상으로 확장한다.","윤양진은 가문 자부심을 내세워 매각을 거부하고 학생 돈을 빼돌리며, 인수 뒤 학생들도 기업 사학을 반대한다.","투자금 회수·파산 신청·골프장 붕괴로 거만한 윤양진이 구명줄을 청하며 대학·실버타운·골프장 4천억 원 매각을 받아들인다.","등록금 100% 무료와 유급 조기취업 뒤 가난한 고득점자가 세운대를 택하고 코일은 총장·교수로 우수 학생을 끌어온다.","유말숙은 과거 은인에서 현재도 밥과 잔소리를 건네는 가족 중심으로, 윤양진은 하대하던 소유자에서 매달리는 피인수자로, 학생은 인수 대상에서 예비 직원으로 바뀐다.","조도겸은 기부자에서 교육기관·2만 명 인재 파이프라인을 가진 고용주로 올라선다.","기업 종속 교육, 교비 압박과 기후 공격의 윤리 비용, 대규모 고용비가 남는다.","세운의 곡물 여력을 아프리카 식량난과 자원개발권 교환에 투입한다.","① 224화 장소가 복지관에서 외할머니 식당으로 바뀌고 재단·대학이라는 제도 목표가 명시된다; ② 인수 협상·부패 폭로·학생 반대가 226화 무료 교육·취업 반응으로 닫힌다; ③ 227화 핵심 장소·상대가 학교에서 중앙아프리카 내전 세력으로 교체된다","high"
"N204-08","난민의 카사바 수프에서 중앙아프리카 개발권까지","227","230","ⓚ227화.","ⓚ230화.","4","조도겸; 르망드; 렐카인; 제브; 알제리노; 조민우; 0호기; 난민과 군인들","중앙아프리카 난민 구호소; 반군 항구; 구호소 밖 평지; 수도와 대통령궁","정부군·반군 모두와 틀어진 도겸이 최약 민병대와 난민을 먹이고 결속해 무피해 전쟁으로 수도를 되찾고 자원개발권과 현지 고용 명분을 얻는다.","독점 개발권을 노리는 개입이 난민을 실제로 살리고 지키는 새 군대·정권의 정당성까지 만들 수 있는가?","식사와 집을 받은 난민의 환대가 무피해 승리·수도 탈환·개발 계약으로 누적된다.","프랑스와 기존 정부의 모욕, 반군 6천 명과 전차 10대, 서로 적대하던 병력, 수도 민심과 개발 현장 안전이 압박한다.","난민 아주머니의 카사바 수프를 본 군인들에게 보호 의지가 싹트고 마법 트레일러가 포탄과 전차를 정면에서 무력화한다.","아군 부상 없이 수도를 6시간 만에 탈환하고 르망드는 개발권을 요구받기 전에 투자·일자리를 부탁하며 480만 국민에게 곡물이 풀린다.","르망드는 난민을 방패로 쓰던 군벌에서 국민을 지킬 지도자로, 도겸은 익명 소장에서 세운그룹 회장님이라 불리는 재건 파트너로 바뀐다.","구호소 군대는 수도 정부군으로, 세운은 식량 공급자에서 독점 자원개발·현지 고용 사업자로 이동한다.","정신조종·내전 개입·독점권의 정당성 비용과 민병대 잔당이 남는다.","중앙아프리카 현장 방어와 함께 일본 반도체 소재 제재에 대응할 12나인 불화수소가 필요해진다.","① 227화 장소·상대가 대학에서 중앙아프리카 내전으로 교체된다; ② 병력 규합·난민 보호·전차전은 230화 수도 탈환과 개발계약까지 같은 약속을 누적한다; ③ 계약·대국민 곡물 배포 뒤 231화 목표가 일본 소재 제재로 전환된다","high"
"N204-09","12나인 수출규제 역전과 독도 해상도시","231","233","ⓚ231화.","ⓚ233화.","3","조도겸; 0호기; 황연우; 윤경영; 이경수; 세운제약·세운에너지 사장; 일본 정부와 소재기업","세운 본사와 소재 공정; 울릉도·독도 해역; 뉴스룸; 윤경영과의 식당","일본의 반도체 소재 제재를 12나인 불화수소 양산으로 무력화하고 울릉도와 독도를 잇는 6제곱킬로미터 해상도시·해저터널을 동시에 공개한다.","일본의 산업·영토 압박을 한국 기업 공급과 실효 지배라는 두 개의 눈에 보이는 반격으로 바꿀 수 있는가?","순도 숫자와 하루 만의 도시 지반이 실제 주가·수급·국정 지지 반전으로 지급된다.","99% 원료에서 12나인 대량 공정을 만들어야 하고 일본 특허·ICJ 위협과 소재 호환성, 국가 승인 문제가 겹친다.","20단 탐색·정화 장비가 12나인 양산에 도달하고 육각 부유판 100개·골렘 1천 기가 해상도시 지반을 하루 만에 조립한다.","일본 제재 당일 세운은 즉시 공급을 발표해 반도체 중단을 막고 일본 소재기업이 고객을 잃으며 윤경영 지지율은 80%대로 오른다.","윤경영·황연우는 기업 해결책을 국가 반격으로 승인하는 파트너가 되고 도겸은 해외 개발자에서 국가 소재·영토 인프라 설계자로 격상된다.","마법 정화는 실험이 아닌 12나인 양산설비가 되고 해상도시는 상징이 아니라 울릉도·독도를 잇는 거주 기반이 된다.","마법 원리 은폐, 일본과의 장기 외교 분쟁, 해상도시 안전 비용이 남는다.","세운대 기숙사를 막는 원룸 주인·구청 문제를 포탈과 해상도시로 우회한다.","① 231화 상대·목표가 중앙아프리카 반군에서 일본 수출규제·소재 공정으로 교체된다; ② 불화수소와 해상도시가 같은 일본 압박 대응으로 233화 공개 결산까지 누적된다; ③ 234화 장소·상대가 세운대학교·원룸 주인·구청으로 바뀐다","high"
"N204-10","세운대 무료 기숙사와 원룸 독점 붕괴","234","234","ⓚ234화.","ⓚ234화.","1","조도겸; 김건웅; 조주영; 세운대 학생들; 원룸 주인들; 구청 관계자들","세운대학교; 독도 해상도시; DK 오피스텔; 세운 연수원","녹물·곰팡이 원룸에 월 40만 원을 내는 학생들의 기숙사를 집주인 시위와 구청이 막자 포탈로 거리를 지워 전교생에게 무료 주거를 제공한다.","지역 허가와 원룸 독점에 붙잡힌 학생을 다음 달부터 안전한 방으로 옮길 수 있는가?","후배를 위해 싸우던 학생 전원이 실제 입주권을 받고 착취 원룸은 공실이 된다.","구청은 허가를 미루고 집주인들은 학생을 자기들 소유처럼 말하며 공사 반대 시위를 벌인다.","350킬로미터 거리를 포탈이 지우면서 독도 해상도시와 DK 오피스텔·연수원이 즉시 기숙사 대안이 된다.","학생 1만 명 이상이 다음 달부터 무료 입주하고 한 달 뒤 낡은 원룸이 공실·매물로 쏟아진다.","학생은 허가를 구걸하는 약자에서 학교가 주거까지 책임지는 구성원으로, 집주인은 지역 독점자에서 세입자를 잃은 공급자로 바뀐다.","해상도시는 영토 상징에서 실제 학생 생활 도시로 확장된다.","지역 임대시장 붕괴와 기업 복지 의존은 남는다.","사장단 회의에서 중국 한한령과 미세먼지·불법 어선이라는 서해 국가 분쟁이 열린다.","① 234화 시작과 함께 장소·상대·수혜자가 일본 국가분쟁에서 대학·원룸 주인·학생으로 전환된다; ② 허가 우회·전원 입주·원룸 공실이 한 회 안에서 완결된다; ③ 말미 사장단 회의에서 상대가 중국 정부·오염·불법 어선으로 교체된다","high"
