"sequence","visible_label","title","start_line","end_line","entry_state","reader_promise","protagonist_goal","action","resistance_or_cost","turn_or_reveal","paid_reward","state_change_axis","state_change","ending_hook","closed_loops","opened_loops","arc_id","confidence"
"251","262","혁신과 안주 (2)","51130","51349","원문 251~261 표식이 없는 번호 단절 뒤 미국 일정에서 귀국한 이정후가 공항에서 부지부장의 영접을 받는 첫 실제 장면","아이폰 국내 출시 협상 통로 확보이 실제 계약·수치·조직 반응으로 증명될지","아이폰 국내 출시 협상 통로 확보","미국 일정 뒤 귀국해 애플 주가 15% 상승을 확인했지만 통신 3사의 협의 파기 통보를 받고 정통부 차관에게 와이파이·WIPI·플랫폼 유통 반발을 캐물었다","통신 카르텔과 휴대폰 제조사들이 망·유통 지배력 상실을 두려워해 대화 자체를 끊었다","거부 원인을 특정하고 카트리나 복구 협업으로 대한통신을 개별 유인하기로 했다","애플·넥스콘·대현반도체의 주가 상승과 카르텔을 깰 정보가 함께 지급됐다","돈|지위|세계","이정후가 통신사에게 끌려가는 협상자에서 카르텔 균열을 설계하는 쪽으로 이동했다","미국 대사관 공문을 받은 대한통신이 재난복구 미끼를 물 것인가","거부 원인을 특정하고 카트리나 복구 협업으로 대한통신을 개별 유인하기로 했다; 애플·넥스콘·대현반도체의 주가 상승과 카르텔을 깰 정보가 함께 지급됐다","미국 대사관 공문을 받은 대한통신이 재난복구 미끼를 물 것인가","M201","medium"
"252","263","혁신과 안주 (3)","51350","51537","미국 대사관 공문을 받은 대한통신이 재난복구 미끼를 물 것인가","대한통신을 통신 카르텔에서 떼어내기이 실제 계약·수치·조직 반응으로 증명될지","대한통신을 통신 카르텔에서 떼어내기","알렉스 대사와 함께 남중현 대한통신 사장에게 카트리나 통신망 복구·미국 통신사 교류를 제시한 뒤 아이폰 초기 물량 독점 판매권을 얹었다","남중현은 100만 원대 단말기와 한국 통신 카르텔의 보복을 우려했다","GL디스플레이 공급 관계와 글로벌 통신 연대를 언급해 거절 시 대한통신만 기회를 잃는 구도로 바꿨다","남중현이 즉석 거절 대신 밤새 검토하겠다고 물러서며 카르텔에 첫 균열이 생겼다","관계|지위|세계","아이폰 유통의 선택권이 통신 3사 공동 거부에서 대한통신 개인 결단으로 좁혀졌다","남중현이 밤샘 계산 끝에 어떤 조건을 내놓을지 남았다","GL디스플레이 공급 관계와 글로벌 통신 연대를 언급해 거절 시 대한통신만 기회를 잃는 구도로 바꿨다; 남중현이 즉석 거절 대신 밤새 검토하겠다고 물러서며 카르텔에 첫 균열이 생겼다","남중현이 밤샘 계산 끝에 어떤 조건을 내놓을지 남았다","M201","high"
"253","264","혁신과 안주 (4)","51538","51745","남중현이 밤샘 계산 끝에 어떤 조건을 내놓을지 남았다","대한통신 계약과 사전예약 흥행 확정이 실제 계약·수치·조직 반응으로 증명될지","대한통신 계약과 사전예약 흥행 확정","남중현이 10만 대 미달 시 독점권 해제·프로모션비 보전 조건으로 계약하고 대한통신은 보조금과 2년 할부까지 자체 부담했다","고가 단말 실패 시 남중현이 카르텔과 주주에게 책임을 져야 했다","일주일 만에 한국 사전예약 9만8천 대가 찍히자 대한통신이 방어에서 공격으로 전환했다","독점 유통 계약·대한통신 주가 상승·번호이동 문의라는 조직 인정이 지급됐다","돈|관계|지위","대한통신이 억지로 들어온 후발 파트너에서 아이폰 판매를 밀어붙이는 선봉으로 바뀌었다","3주 예약이 실제 결제와 출시 당일 인파로 이어질지가 다음 시험이다","일주일 만에 한국 사전예약 9만8천 대가 찍히자 대한통신이 방어에서 공격으로 전환했다; 독점 유통 계약·대한통신 주가 상승·번호이동 문의라는 조직 인정이 지급됐다","3주 예약이 실제 결제와 출시 당일 인파로 이어질지가 다음 시험이다","M201","high"
"254","265","혁신과 안주 (5)","51746","51944","3주 예약이 실제 결제와 출시 당일 인파로 이어질지가 다음 시험이다","출시 물량을 지키고 유통 주도권 회수이 실제 계약·수치·조직 반응으로 증명될지","출시 물량을 지키고 유통 주도권 회수","30만 명에 가까운 예약에 맞춰 넥스콘을 24시간 가동하고 출시 당일 예약 취소 100건 미만·웃돈 거래·애플 주가 하루 10% 상승을 확인했다","수율과 재고 위험을 감수해야 했고 GL·KST가 뒤늦게 판에 들어올 가능성도 관리해야 했다","대한통신이 장기 독점을 먼저 요구하고 GL그룹 2인자 고본진 부회장이 직접 찾아왔다","글로벌 판매 인파와 제조·주가·번호이동 성과가 눈앞의 영수증으로 지급됐다","돈|지위|세계","통신사가 갑이던 출시 전 구도에서 타이거펀드가 복수 통신사를 고르는 구도로 역전됐다","고본진에게 과거의 집단 거부 대가를 어떤 조건으로 청구할 것인가","대한통신이 장기 독점을 먼저 요구하고 GL그룹 2인자 고본진 부회장이 직접 찾아왔다; 글로벌 판매 인파와 제조·주가·번호이동 성과가 눈앞의 영수증으로 지급됐다","고본진에게 과거의 집단 거부 대가를 어떤 조건으로 청구할 것인가","M201","high"
"255","266","시대적 오판 (1)","51945","52146","고본진에게 과거의 집단 거부 대가를 어떤 조건으로 청구할 것인가","GL을 후발 공동판매자로 묶고 플랫폼 수익 확대이 실제 계약·수치·조직 반응으로 증명될지","GL을 후발 공동판매자로 묶고 플랫폼 수익 확대","고본진을 집단 거부 책임으로 압박한 뒤 마케팅 전액·공격적 보조금·정통부 정리를 받아내고 3차 물량부터 대한통신과 공동 판매시키기로 했다","GL은 애플 패널 공급 관계를 잃을 위험과 이미 넘어간 초기 독점권 사이에 끼어 있었다","단말 판매를 넘어 앱스토어 한국 50억 원·글로벌 1천억 원 매출과 네오마블·롤북 선점을 확인했다","GL의 사과와 공동판매 조건, 앱스토어 50% 지속 수익, 삼진전자의 협의 요청이 한꺼번에 들어왔다","돈|관계|세계","아이폰 한 기종의 출시전이 타이거펀드가 통신·앱·부품을 거느리는 생태계 사업으로 확장됐다","삼진전자가 스마트폰 특허를 원하면서 다음 제조·OS 경쟁이 열린다","단말 판매를 넘어 앱스토어 한국 50억 원·글로벌 1천억 원 매출과 네오마블·롤북 선점을 확인했다; GL의 사과와 공동판매 조건, 앱스토어 50% 지속 수익, 삼진전자의 협의 요청이 한꺼번에 들어왔다","삼진전자가 스마트폰 특허를 원하면서 다음 제조·OS 경쟁이 열린다","M201","high"
"256","267","시대적 오판 (2)","52147","52333","삼진전자가 스마트폰 특허를 원하면서 다음 제조·OS 경쟁이 열린다","삼진의 스마트폰 진입 조건과 OS 판단 확인이 실제 계약·수치·조직 반응으로 증명될지","삼진의 스마트폰 진입 조건과 OS 판단 확인","최동석 삼진전자 사장에게 멀티터치·전력·배터리 특허 협의를 열어주되 자체 OS 고집을 확인하고 GL은 터치 피처폰만 준비 중임을 비교했다","삼진은 애플보다 빨리 따라잡으려 서두르면서도 외부 OS 의존을 자존심 문제로 여겼다","삼진이 거절한 미국 OS 기업이 안드로이드라는 사실을 찾아 앤디 루빈을 한국으로 불렀다","하드웨어 로열티 협상권과 아무도 알아보지 못한 OS 인수 후보를 먼저 확보했다","능력|지위|세계","타이거펀드의 위치가 특허 공급자에서 차세대 공개 OS 판을 고르는 심사자로 올라갔다","홍콩에 있던 앤디 루빈이 다음 날 바로 한국에 온다","삼진이 거절한 미국 OS 기업이 안드로이드라는 사실을 찾아 앤디 루빈을 한국으로 불렀다; 하드웨어 로열티 협상권과 아무도 알아보지 못한 OS 인수 후보를 먼저 확보했다","홍콩에 있던 앤디 루빈이 다음 날 바로 한국에 온다","M202","high"
"257","268","시대적 오판 (3)","52334","52503","홍콩에 있던 앤디 루빈이 다음 날 바로 한국에 온다","안드로이드를 타이거펀드의 두 번째 OS 축으로 확보이 실제 계약·수치·조직 반응으로 증명될지","안드로이드를 타이거펀드의 두 번째 OS 축으로 확보","특허 유사성을 짚어 위험을 알린 뒤 루빈이 원한 4천만 달러보다 많은 5천만 달러와 경영권·무제한 연구비를 제시하고 구글 공동개발까지 연결했다","자금난과 제조사 불신에 몰린 루빈은 특허 지적이 헐값 인수 압박인지 의심했다","가격을 깎지 않고 오히려 올려 진심을 증명하자 루빈이 1년 내 완성도를 끌어올리겠다고 약속했다","안드로이드 인수·앤디 루빈의 신뢰·구글 기술 우산이 지급됐다","돈|능력|관계|세계","아이폰 OS만 보유하던 구조가 폐쇄형 아이폰과 공개형 안드로이드 양축 지배로 바뀌었다","스마트폰 판을 확보한 이정후가 과열된 부동산 자산을 현금화하려 한다","가격을 깎지 않고 오히려 올려 진심을 증명하자 루빈이 1년 내 완성도를 끌어올리겠다고 약속했다; 안드로이드 인수·앤디 루빈의 신뢰·구글 기술 우산이 지급됐다","스마트폰 판을 확보한 이정후가 과열된 부동산 자산을 현금화하려 한다","M202","high"
"258","269","시대적 오판 (4)","52504","52688","스마트폰 판을 확보한 이정후가 과열된 부동산 자산을 현금화하려 한다","부동산 버블 전에 현금과 데이터를 동시에 보존이 실제 계약·수치·조직 반응으로 증명될지","부동산 버블 전에 현금과 데이터를 동시에 보존","에버베드·호텔·오피스를 묶어 팔되 모바일 운영과 데이터 공유권은 남기고 로버트슨에게 글로벌 경쟁입찰을 맡겼다","1년 더 보유하면 가격은 오르지만 붕괴 책임과 대규모 매각 지연 위험도 함께 커졌다","매입가 10배를 노리는 현금화와 데이터 영구 확보를 양립시키고 한국에서는 대현건설 매각 경쟁을 설계했다","버블 붕괴에 배팅할 현금과 에버베드 이용 데이터의 지속 접근권을 남겼다","돈|세계","자산 보유로 버블을 타던 펀드가 고점에서 플랫폼까지 팔고 붕괴의 매수자로 준비하기 시작했다","대현가의 정통성을 미끼로 대현건설 가격 경쟁을 붙일 차례다","매입가 10배를 노리는 현금화와 데이터 영구 확보를 양립시키고 한국에서는 대현건설 매각 경쟁을 설계했다; 버블 붕괴에 배팅할 현금과 에버베드 이용 데이터의 지속 접근권을 남겼다","대현가의 정통성을 미끼로 대현건설 가격 경쟁을 붙일 차례다","M203","high"
"259","270","시대적 오판 (5)","52689","52862","대현가의 정통성을 미끼로 대현건설 가격 경쟁을 붙일 차례다","대현가 세 집안을 대현건설 입찰장에 앉히기이 실제 계약·수치·조직 반응으로 증명될지","대현가 세 집안을 대현건설 입찰장에 앉히기","한정원 대현그룹 회장의 강한 의사에도 자금력을 문제 삼고 장동준 대현중공업 회장에게 셰일가스 설비 수주라는 숨은 가치를 꺼냈다","대현그룹은 돈이 없고 대현중공업은 건설 경기와 에너지 개발 손실을 경계했다","왕 회장과의 약속·범대현가 우선매각을 명분으로 삼아 해외 매각 위협도 협상 카드로 만들었다","한정원과 장동준이 모두 경쟁 의사를 보이며 대현자동차를 자극할 판이 깔렸다","돈|관계|지위","단순 매물 대현건설이 세 후계 집안의 정통성을 결정하는 희소 자산으로 재평가됐다","장동준도 혹할 셰일가스의 구체 이익이 공개된다","왕 회장과의 약속·범대현가 우선매각을 명분으로 삼아 해외 매각 위협도 협상 카드로 만들었다; 한정원과 장동준이 모두 경쟁 의사를 보이며 대현자동차를 자극할 판이 깔렸다","장동준도 혹할 셰일가스의 구체 이익이 공개된다","M203","high"
"260","271","정통성의 가격 (1)","52863","53057","장동준도 혹할 셰일가스의 구체 이익이 공개된다","대현중공업과 대현자동차까지 경쟁 입찰에 투입이 실제 계약·수치·조직 반응으로 증명될지","대현중공업과 대현자동차까지 경쟁 입찰에 투입","대현건설이 비용 부담 없이 미국 셰일가스 장비를 납품하게 해 장동준을 설득하고 대현자동차의 조급함까지 키워 4주 뒤 봉인입찰을 열었다","장동준은 지나치게 좋은 조건의 배후와 타이거펀드가 황금알을 포기하는 이유를 의심했다","금융자본의 직접 개발을 피하려는 정치적 이유를 설명해 의심을 지우고 언론 찌라시로 세 집안의 불안을 높였다","대현그룹이 16조 원 최고가로 우선협상권을 얻는 가격 경쟁 결산이 나왔다","돈|지위|관계","매입 당시 구제 대상이던 대현건설이 16조 원을 부르는 정통성 자산으로 올라섰다","자금 없는 한정원이 16조 원을 어떻게 조달했는지 검증해야 한다","금융자본의 직접 개발을 피하려는 정치적 이유를 설명해 의심을 지우고 언론 찌라시로 세 집안의 불안을 높였다; 대현그룹이 16조 원 최고가로 우선협상권을 얻는 가격 경쟁 결산이 나왔다","자금 없는 한정원이 16조 원을 어떻게 조달했는지 검증해야 한다","M203","high"
