sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"167","167화","효종 167화","21372","21490","금난전권 폐지와 반란 진압 뒤 도성 민생과 근위대 증강이 동시에 진행된다.","난전 상인의 체감 보상과 북벌군의 뜻밖의 병목을 함께 보여 준다.","도현은 만 명 총병의 사격 훈련을 끊지 않고 화약 재고를 회복하려 한다.","임경업과 박호에게 생산 현황을 캐묻고 장 총관을 불러 유황 조달책을 찾는다.","일본 막부의 금수 때문에 유황이 막혔고 재고 600근은 한 차례 격전분뿐이다.","확충한 병기창이 설비가 아니라 월 700근의 유황 부족 때문에 놀고 있음이 드러난다.","도성의 중년 부인이 시전 패거리를 두려워하지 않고 좌판을 계속 펴며 도현을 성군이라 부른다.","세계·민생/군사 자원","자유 장사의 혜택이 평민 수입으로 내려온 반면 총병 증강은 유황 공급망이라는 새 국가 과제를 만든다.","장 총관이 부산 왜관의 밀수품으로는 수요를 못 채운다고 고백한다.","금난전권 폐지의 민생 효과가 확인된다.","대량 유황 확보와 화약 훈련 지속 문제가 열린다.","M01","high"
"168","168화","효종 168화","21491","21620","부산 왜관에서 흘러나오는 유황만으로는 근위대 수요를 감당할 수 없다.","왕권·정보기관·상단을 결합한 비밀 국가 작전의 개시를 약속한다.","도현은 청과 막부에 군비 증강을 들키지 않고 유황을 대량 밀수하려 한다.","이완의 주작단과 장 총관의 봉황상단에 공동 밀수 명령을 내리고 김근행·김덕생·임지혁을 부산포와 나가사키로 보낸다.","발각되면 막부와 외교 마찰이 생기고 청은 조선의 북벌 준비를 의심할 수 있다.","국왕 직속 정보기관이 된 주작단이 상단의 해외망과 결합하고 코자에몬 상단이 거래 후보로 정해진다.","오희갑이 투명 잉크 서찰을 읽고 나라를 위한 임무라며 지부의 전력을 내준다.","권력·조직/외교","도현의 명령이 희정당 논의에서 부산포·가덕도 왜관·나가사키로 이어지는 실제 비밀 작전으로 전환된다.","김근행 일행이 나가사키 항에 상륙해 낯선 외국인 거리로 들어간다.","공식 교역으로 유황을 사자는 대안은 기밀 노출 위험 때문에 폐기된다.","코자에몬 상단 설득과 일본 내 은폐라는 새 루프가 열린다.","M01","high"
"169","169화","효종 169화","21621","21738","김근행 일행은 나가사키 여관을 거점으로 잡았고 사이토 코자에몬도 조선 손님을 기다린다.","막부 금수품을 둘러싼 상인 대 상인의 협상과 위험 가격을 보여 준다.","김근행과 임지혁은 군비 목적을 숨긴 채 1만 근까지 이어질 유황 공급선을 확보하려 한다.","사이토 저택에서 신분을 감추고 막부 금수와 물량을 정면으로 협상해 1차 5천 근을 요구한다.","대량 유황은 전쟁 준비를 뜻하고 발각되면 코자에몬 가문도 패가망신할 수 있다.","사이토는 위험 자체보다 조선 교역 할당량 밖의 막대한 이윤 가능성에 흔들린다.","김근행 일행이 규슈 최대 거상과 동등하게 가격 협상을 시작하고 5천 근이라는 국가 규모 수요를 제시한다.","관계·군사 자원","조선 비밀사절과 코자에몬 상단 사이에 거래 가능성이 생기지만 대가는 아직 정해지지 않는다.","사이토가 최소 1만 근이라는 규모 앞에서 결정을 미룬다.","코자에몬 상단 접촉과 물량 제시는 끝난다.","사이토를 움직일 교환재와 안전장치가 미결로 남는다.","M01","high"
"170","170화","효종 170화","21739","21832","사이토는 1만 근 밀수의 처벌 위험 때문에 결정을 망설인다.","도현의 신기술·상품이 군수와 국내 개혁을 동시에 움직이는 보상을 약속한다.","일본에서는 소금으로 유황을 사고 조선에서는 군사·물류·화폐 기반의 도로망을 연다.","임지혁이 천일염과 유황을 같은 무게로 바꾸자고 제안하고 도현은 조회에서 한양-수원·평양 도로와 3년 주기 양전, 유민 유급 노역을 밀어붙인다.","밀수 위험과 송시열 등 신료의 침공로·재정·흉년·경복궁 재건 반대가 겹친다.","일본의 비싼 솥소금과 조선의 값싼 천일염 격차가 사이토를 굴복시키고 반란 가문 몰수재산·은결 3할이 도로 재원이 된다.","사이토가 거래를 수락하고 도현은 죄인·유민에게 식량과 품삯을 주는 단계적 도로 공사를 확정한다.","군사 자원·정책·재정","유황 공급선이 계약 단계로 넘어가고 왕권은 도로·양전·노역 정책을 반대파 앞에서 확정한다.","도로 공사 임금과 관군 봉록을 상평통보로 지급하려는 도현의 다음 계산이 남는다.","코자에몬의 거래 수락과 도로 재원 논쟁이 결론 난다.","유황 인도·화폐 유통·도로 착공이 후속 과제로 열린다.","M01","high"
"171","171화","효종 171화","21833","21961","도로 공사가 확정되고 코자에몬은 유황 제안을 받아들인 상태다.","개혁의 숨은 화폐 목적과 해외 정보 작전의 추가 전리품을 제시한다.","도현은 공사비·봉록을 상평통보로 풀어 화폐경제를 만들고 김근행은 나가사키 체류를 국가 자산 획득 기회로 삼는다.","도로 일꾼·자재·관리·병사 지급을 화폐로 바꾸도록 설계하고 김근행 일행은 유곽 정보망에서 파산한 에스파니아 선장 호세 마누엘의 범선을 산다.","화폐 불신을 시전과 봉황상단이 떠받쳐야 하며 외국 항구의 첩보 수집은 노출 위험을 키운다.","마누엘이 사기와 도박 빚으로 배를 잃을 처지가 되어 조선 측이 서양 범선과 항해술을 함께 살 기회를 얻는다.","도현은 유황을 다음 달 중순 받는다는 암호 보고를 받고 김근행은 대포 8문 달린 배를 은 400냥에 계약한다.","재정·기술·군사 자원","상평통보 유통 계획이 도로와 결합되고 조선은 유황 외에 서양 범선 확보 단계로 나아간다.","배만이 아니라 마누엘과 선원들의 운용 기술까지 데려올 수 있는지가 걸린다.","유황 거래 성사 보고와 범선 매매 계약이 체결된다.","서양 항해술 고용과 나가사키 감시망 회피가 열린다.","M01","high"
"172","172화","효종 172화","21962","22113","김근행은 마누엘의 범선을 샀지만 조선인은 서양식 범선을 운용할 줄 모른다.","배·대포·항해술·규슈 군사정보를 한 번에 얻는 확장 보상을 약속한다.","마누엘과 선원을 고용하고 필요한 자재·지도까지 챙겨 안전하게 귀국한다.","마누엘과 선원들에게 1년 계약을 제시하고 화란 상관에서 자재·포탄을 사며 혼다를 통해 규슈 지도를 구한다.","양인 선원의 조선 체류 위험과 지나친 정보 수집으로 나가사키 봉행소 무사 오카모토 켄이치로가 흔적을 잡는다.","사이토는 유황 5천 근을 아마쿠사에서 띄우고 아들 이토를 거래 책임자로 보내겠다고 한다.","마누엘과 선원들이 절영도에서 조선 수군에 항해술을 가르치는 계약을 받아들인다.","기술·조직·외교","조선은 서양 범선과 교관을 확보했지만 켄이치로의 미행으로 은밀성은 크게 약해진다.","사이토가 수상한 외국인 소문을 경고한 뒤 김근행은 군사지도 거래만 마치고 즉시 철수하기로 한다.","범선·선원 고용과 유황 출항 일정이 확정된다.","혼다 지도 거래와 봉행소 추적의 충돌이 열린다.","M01","high"
"173","173화","효종 173화","22114","22275","김근행 일행은 행적 노출을 알면서도 마지막으로 혼다의 규슈 군사지도를 받으러 간다.","첩보 욕심의 비용을 칼싸움과 야간 탈출로 지급한다.","지도와 핵심 인원을 지키고 봉행소 추격대를 없앤 뒤 나가사키를 빠져나간다.","대나무 숲에서 은 50냥과 지도를 교환하고 켄이치로와 치안병 열 명이 덮치자 김근행·김덕생이 전원을 베어 쓰러뜨린다.","혼다가 죽고 관리를 살해한 흔적 때문에 항구 봉쇄 전에 떠나야 하며 야간 출항은 암초 위험이 크다.","십팔반무예에 능한 김근행이 수적 열세를 뒤집어 켄이치로를 베고 지도 값까지 회수한다.","규슈 지형·병력 지도를 지키고 세 사람 모두 생존한 채 요르카호 철수 명령을 내린다.","정보·생존·관계","비밀 거래는 무력 충돌로 변했고 나가사키 체류 선택지는 완전히 사라진다.","임지혁이 마누엘에게 한밤중 즉시 출항하라고 통보한다.","혼다와의 지도 거래 및 켄이치로 추적은 죽음으로 끝난다.","봉행소 수색 전에 요르카호를 빼내야 하는 탈출 루프가 열린다.","M01","high"
"174","174화","효종 174화","22276","22433","켄이치로 일행을 죽인 김근행 측은 밤중에 요르카호를 띄우고 사이토에게 수습을 맡긴다.","은밀한 유황 밀수의 실물 인도와 화약 부족 해소를 지급한다.","나가사키 사건을 덮고 가덕도에서 이토의 유황 5천 근을 소금과 교환한다.","김근행은 사이토에게 쪽지를 남기고 마누엘과 야간 출항하며 사이토는 시신을 없애고 관리에게 돈을 먹인다; 가덕도에서 이토의 배를 확인해 유황을 하역한다.","요르카호 야간 항해와 나가사키 관공서 실종 사건, 정체불명 왜선을 왜구로 오인한 조선군의 경계가 비용이다.","이토의 선창에서 순도 높은 유황석이 확인되고 양측은 한 달 뒤 재거래까지 합의한다.","유황 5천 근이 남한산성 병기창에 도착해 화약 생산의 숨통이 트인다.","군사 자원·외교·기술","조선은 유황 정기 공급선과 서양 범선·교관을 얻고 사이토는 조선 소금 거래를 지속할 이해관계를 갖는다.","도현은 왜국 의존을 끝낼 국내 유황 광산을 재촉한다.","나가사키 탈출과 1차 유황 밀수는 성공으로 닫힌다.","경주 만호봉 탐광·염전 증설·정기 밀수 거래가 열린다.","M01","high"
"175","175화","효종 175화","22434","22545","유황 5천 근이 병기창에 들어왔고 1646년에는 도현의 군제·상업 개혁이 성과를 내기 시작한다.","밀수 결산을 국내 자립과 민생 번영으로 환전한 뒤 새 전쟁의 불길을 예고한다.","도현은 만호봉 유황광과 염전을 키우고 군역·통상·물가 안정으로 대마도 원정이 가능한 국력을 만든다.","이의립의 경주 탐광을 비밀 지원하고 전라도 무인도 염전을 증설하며 코자에몬의 면포·인삼 추가 거래 대금을 은으로 받게 한다.","유황의 일본 의존, 병사 급료를 메우는 왕실 사재, 양반 군역 회피와 상단 독점 반발 가능성이 남는다.","근위대 2만2천·지방군 총포화, 양반 대납 군비, 통상권·관세·봉황상단 물가 조절이 선순환을 이루고 백성 지지가 커진다.","천일염 연 30만 냥 수익과 안정된 설 시장이 개혁의 국가·민생 보상으로 제시된다.","군사·재정·민생·왕권","유황 위기는 자립 탐광과 무역 확대 단계로 넘어가고 도현의 개혁 정당성이 백성 생활에서 증명된다.","평온한 설날 위로 먹구름이 다가오며 남해 왜구의 다음 충격을 예고한다.","1차 유황 위기와 1645년 개혁 성과가 결산된다.","대마도 정벌을 촉발할 남해 위기와 은화 주조 재원 확보가 열린다.","M02","high"
"176","176화","효종 176화","22546","22674","설 명절의 평온 뒤 남해 어민들은 일상적인 고기잡이를 하고 있다.","백성 피해를 왕의 전쟁 결단으로 직결하는 강한 발단을 제시한다.","도현은 거제 다섯 마을을 짓밟은 왜구를 문책 수준이 아니라 근거지 제거로 응징하려 한다.","왜구가 주민 300명을 살해·납치하고 마을을 태우자 도현은 임경업을 질책하고 대전에서 대마도 직접 정벌을 선포한다.","수군 대비가 완성되지 않았고 송시열은 책임자 처벌과 원정 실패 위험을 들며 왕당파를 공격한다.","도현은 대마도의 역사적 복속·세종 때 정벌·지리적 근접성을 들어 단순 보복 아닌 영토 회복으로 목표를 확장한다.","김종일·임경업·박황 등 대신들이 신형 군선과 상대 병력 조건을 확인한 뒤 원정 가능성에 합의한다.","왕권·전쟁 목표·민심","거제 참사는 조선 조정 전체가 지지하는 대마도 정벌 계획으로 변한다.","원정 병력·선박·지휘 체계를 실제로 어떻게 꾸릴지가 남는다.","거제 피해 보고와 정벌 여부 논쟁은 찬성으로 닫힌다.","대마도 점령 준비와 조선 내부 반대 관리가 열린다.","M02","high"
